row_label_raw,row_label_full,col_0,Tại ngày1.1.2022VND,Số phải thu/phảinộp trong nămVND,Số đã thựcthu/thực nộptrong nămVND,Cán trừ trong nămVND,KhácVND,Tại ngày31.12.2022VND,numeric__Tại ngày1.1.2022VND,numeric__Số phải thu/phảinộp trong nămVND,numeric__Số đã thựcthu/thực nộptrong nămVND,numeric__Cán trừ trong nămVND,numeric__KhácVND,numeric__Tại ngày31.12.2022VND
a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,,,,,,
Thuế GTGT đượckhấu trừ,a) Phải thu > Thuế GTGT đượckhấu trừ,Thuế GTGT đượckhấu trừ,50.356.330.123,1.701.830.425.780,-,(1.602.077.244.791),(10.750.938.169),139.358.572.943,50356330123.0,1701830425780.0,,-1602077244791.0,-10750938169.0,139358572943.0
Thuế nhà thàunước ngoài,a) Phải thu > Thuế nhà thàunước ngoài,Thuế nhà thàunước ngoài,-,-,-,24.874.721.710,-,24.874.721.710,,,,24874721710.0,,24874721710.0
,,,50.356.330.123,1.701.830.425.780,-,(1.577.202.523.081),(10.750.938.169),164.233.294.653,50356330123.0,1701830425780.0,,-1577202523081.0,-10750938169.0,164233294653.0
b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,,,,,,
Thuế TNDN,b) Phải nộp > Thuế TNDN,Thuế TNDN,138.353.828.365,172.103.552.548,(140.133.402.011),-,(4.979.122.589),165.344.856.313,138353828365.0,172103552548.0,-140133402011.0,,-4979122589.0,165344856313.0
Thuế GTGT,b) Phải nộp > Thuế GTGT,Thuế GTGT,82.693.553.374,1.638.005.516.627,(118.621.825.210),(1.602.077.244.791),-,-,82693553374.0,1638005516627.0,-118621825210.0,-1602077244791.0,,
Thuế thu nhập cá nhân,b) Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,45.647.196.536,384.980.711.451,(237.836.508.040),-,-,192.791.399.947,45647196536.0,384980711451.0,-237836508040.0,,,192791399947.0
Thuế nhà thàunước ngoài,b) Phải nộp > Thuế nhà thàunước ngoài,Thuế nhà thàunước ngoài,22.010.668.059,21.955.071.149,(20.962.129.321),24.874.721.710,(47.878.331.597),-,22010668059.0,21955071149.0,-20962129321.0,24874721710.0,-47878331597.0,
Thuế khác,b) Phải nộp > Thuế khác,Thuế khác,-,140.106.901.023,(139.825.121.248),-,-,281.779.775,,140106901023.0,-139825121248.0,,,281779775.0
,,,288.705.246.334,2.357.151.752.798,(657.378.985.830),(1.577.202.523.081),(52.857.454.186),358.418.036.035,288705246334.0,2357151752798.0,-657378985830.0,-1577202523081.0,-52857454186.0,358418036035.0
