row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Tài sản khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,50.564.213.810,16.186.307.587,8.957.294.366,6.197.309.243,1.524.533.846,83.429.658.852,50564213810.0,16186307587.0,8957294366.0,6197309243.0,1524533846.0,83429658852.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,163.266.000,4.882.589.199,11.563.568.771,389.060.000,-,16.998.483.970,163266000.0,4882589199.0,11563568771.0,389060000.0,,16998483970.0
Chuyển từ bất động sản đầu tư,Nguyên giá: > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,3.757.084.237,-,-,2.395.840.988,66.344.442,6.219.269.667,3757084237.0,,,2395840988.0,66344442.0,6219269667.0
Chuyển từ xây dựngcơ bản dở dang,Nguyên giá: > Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,5.380.175.931,-,-,-,-,5.380.175.931,5380175931.0,,,,,5380175931.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(3.331.812.282),-,-,(3.331.812.282),,,-3331812282.0,,,-3331812282.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,59.864.739.978,21.068.896.786,17.189.050.855,8.982.210.231,1.590.878.288,108.695.776.138,59864739978.0,21068896786.0,17189050855.0,8982210231.0,1590878288.0,108695776138.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,4.554.146.286,4.306.776.725,4.854.752.106,1.415.534.755,1.292.036.145,16.423.246.017,4554146286.0,4306776725.0,4854752106.0,1415534755.0,1292036145.0,16423246017.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(21.531.632.632),(8.890.253.959),(7.913.497.531),(4.130.291.185),(1.150.348.291),(43.616.023.598),-21531632632.0,-8890253959.0,-7913497531.0,-4130291185.0,-1150348291.0,-43616023598.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.463.103.365),(1.828.742.201),(3.286.479.604),(188.774.111),-,(6.767.099.281),-1463103365.0,-1828742201.0,-3286479604.0,-188774111.0,,-6767099281.0
Chuyển từ bất động sản đầu tư,Giá trị khấu hao lũy kế: > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,(445.064.660),-,-,(1.179.524.288),(46.172.628),(1.670.761.576),-445064660.0,,,-1179524288.0,-46172628.0,-1670761576.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,1.423.114.037,-,-,1.423.114.037,,,1423114037.0,,,1423114037.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(23.439.800.657),(10.718.996.160),(9.776.863.098),(5.498.589.584),(1.196.520.919),(50.630.770.418),-23439800657.0,-10718996160.0,-9776863098.0,-5498589584.0,-1196520919.0,-50630770418.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,29.032.581.178,7.296.053.628,1.043.796.835,2.067.018.058,374.185.555,39.813.635.254,29032581178.0,7296053628.0,1043796835.0,2067018058.0,374185555.0,39813635254.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,36.424.939.321,10.349.900.626,7.412.187.757,3.483.620.647,394.357.369,58.065.005.720,36424939321.0,10349900626.0,7412187757.0,3483620647.0,394357369.0,58065005720.0
