row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ","Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",1.184.913.573,11.417.757.397,1184913573.0,11417757397.0
Chi phí hoạt động,Ngắn hạn > Chi phí hoạt động,Chi phí hoạt động,680.690.909,4.592.102.003,680690909.0,4592102003.0
Chi phí hoa hồng môi giới,Ngắn hạn > Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,-,9.910.007.709,,9910007709.0
Khác,Ngắn hạn > Khác,Khác,587.887.183,541.940.438,587887183.0,541940438.0
,,,2.453.491.665,26.461.807.547,2453491665.0,26461807547.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",9.983.099.404,3.447.391.698,9983099404.0,3447391698.0
Hoa hồng môi giới,Dài hạn > Hoa hồng môi giới,Hoa hồng môi giới,1.323.914.770,1.686.882.478,1323914770.0,1686882478.0
Chi phí xây dựng nhà mẫu,Dài hạn > Chi phí xây dựng nhà mẫu,Chi phí xây dựng nhà mẫu,-,6.106.689.470,,6106689470.0
Khác,Dài hạn > Khác,Khác,5.964.322.000,308.611.326,5964322000.0,308611326.0
,,,17.271.336.174,11.549.574.972,17271336174.0,11549574972.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,19.724.827.839,38.011.382.519,19724827839.0,38011382519.0
