row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.391.369.180.000,988.508.364.367,(86.203.408.000),10.709.490.423,2.216.611.139,1.293.714.724.748,4.600.314.962.677,2391369180000.0,988508364367.0,-86203408000.0,10709490423.0,2216611139.0,1293714724748.0,4600314962677.0
Cổ tức bằng cổ phiếu (i),Năm nay > Cổ tức bằng cổ phiếu (i),Cổ tức bằng cổ phiếu (i),188.556.930.000,-,-,-,-,(188.556.930.000),-,188556930000.0,,,,,-188556930000.0,
Phát hành cổ phiếu (i),Năm nay > Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),17.099.640.000,-,-,-,-,-,17.099.640.000,17099640000.0,,,,,,17099640000.0
Cổ phiếu quỹ (ii),Năm nay > Cổ phiếu quỹ (ii),Cổ phiếu quỹ (ii),-,-,(296.730.939.400),-,-,-,(296.730.939.400),,,-296730939400.0,,,,-296730939400.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,960.564.301.342,960.564.301.342,,,,,,960564301342.0,960564301342.0
Cổ tức bằng tiền công bố (iii),Năm nay > Cổ tức bằng tiền công bố (iii),Cổ tức bằng tiền công bố (iii),-,-,-,-,-,(181.026.448.724),(181.026.448.724),,,,,,-181026448724.0,-181026448724.0
"Trích quỹ khen thưởng, phúc lợi (TM số 27.4) (iv)","Năm nay > Trích quỹ khen thưởng, phúc lợi (TM số 27.4) (iv)","Trích quỹ khen thưởng, phúc lợi (TM số 27.4) (iv)",-,-,-,-,-,(45.578.797.943),(45.578.797.943),,,,,,-45578797943.0,-45578797943.0
Thù lao Hội Đồng Quản Trị,Năm nay > Thù lao Hội Đồng Quản Trị,Thù lao Hội Đồng Quản Trị,-,-,-,-,-,(7.856.460.796),(7.856.460.796),,,,,,-7856460796.0,-7856460796.0
Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát (TM số 4.4 và 4.5),Năm nay > Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát (TM số 4.4 và 4.5),Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát (TM số 4.4 và 4.5),-,-,-,-,-,9.056.030.358,9.056.030.358,,,,,,9056030358.0,9056030358.0
Khác,Năm nay > Khác,Khác,-,-,-,-,-,(1.015.164.680),(1.015.164.680),,,,,,-1015164680.0,-1015164680.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.597.025.750.000,988.508.364.367,(382.934.347.400),10.709.490.423,2.216.611.139,1.839.301.254.305,5.054.827.122.834,2597025750000.0,988508364367.0,-382934347400.0,10709490423.0,2216611139.0,1839301254305.0,5054827122834.0
