row_label_raw,row_label_full,Southgate,Công ty liên doanh,Tạm ứng cho mua dịch vụ,56.882.166.972,-,numeric__Công ty liên doanh,numeric__Tạm ứng cho mua dịch vụ,numeric__56.882.166.972,numeric__-
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công ty liên doanh,Tạm ứng cho mua dịch vụ,20.322.832.253,43.900.075.512,,,20322832253.0,43900075512.0
,,,,,77.204.999.225,43.900.075.512,,,77204999225.0,43900075512.0
