row_label_raw,row_label_full,col_0,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Băng cân đối kế toán hợp nhất,numeric__Băng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Tài sản thuế TNDN hoãn lại > Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,230.285.696.758,219.793.957.359,10.491.739.399,56.512.258.585,230285696758.0,219793957359.0,10491739399.0,56512258585.0
Chi phí phải trả,Tài sản thuế TNDN hoãn lại > Chi phí phải trả,Chi phí phải trả,31.591.236.238,32.701.605.411,(1.110.369.173),4.981.422.722,31591236238.0,32701605411.0,-1110369173.0,4981422722.0
Khác,Tài sản thuế TNDN hoãn lại > Khác,Khác,2.677.317.219,2.717.414.216,(40.096.997),(747.657.632),2677317219.0,2717414216.0,-40096997.0,-747657632.0
,,,264.554.250.215,255.212.976.986,,,264554250215.0,255212976986.0,,
