row_label_raw,row_label_full,Số đầu năm,Năm nay > 684.189.248.746,VNDNăm trước > 802.626.704.177,numeric__Năm nay > 684.189.248.746,numeric__VNDNăm trước > 802.626.704.177
Tăng vốn góp điều lệ,Tăng vốn góp điều lệ,Tăng vốn góp điều lệ,572.500.000.000,-,572500000000.0,
Mua công ty con (TM số 4.3),Mua công ty con (TM số 4.3),Mua công ty con (TM số 4.3),5.425.994.773,-,5425994773.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,46.708.377.748,123.722.359.660,46708377748.0,123722359660.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,-,(82.782.207),,-82782207.0
Cổ tức đã trả,Cổ tức đã trả,Cổ tức đã trả,(78.387.001.800),(146.268.292.884),-78387001800.0,-146268292884.0
Thoái vốn bằng tiền,Thoái vốn bằng tiền,Thoái vốn bằng tiền,(22.072.330.000),(93.427.250.000),-22072330000.0,-93427250000.0
Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,(31.128.360.358),-,-31128360358.0,
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,(27.598.740.606),-,-27598740606.0,
Thoái vốn bằng cách cần trừ khoản phải thu,Thoái vốn bằng cách cần trừ khoản phải thu,Thoái vốn bằng cách cần trừ khoản phải thu,(4.531.456.318),(2.381.490.000),-4531456318.0,-2381490000.0
Số cuối năm,Số cuối năm,Số cuối năm,1.145.105.732.185,684.189.248.746,1145105732185.0,684189248746.0
Trong đó:Cổ tức đã thực trả bằng tiền,Trong đó:Cổ tức đã thực trả bằng tiền,Trong đó:Cổ tức đã thực trả bằng tiền,70.683.354.300,136.099.478.184,70683354300.0,136099478184.0
