row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm vàsố cuối năm,Công ty TNHHAnabuki NLHousing ServiceViệt Nam > Giá trị đầu tư: > 834.000.000,NNH Mizuki > Giá trị đầu tư: > 750.000.000.000,Southgate > Giá trị đầu tư: > 916.500.000.000,Tổng cộng > Giá trị đầu tư: > 1.667.334.000.000,numeric__Công ty TNHHAnabuki NLHousing ServiceViệt Nam > Giá trị đầu tư: > 834.000.000,numeric__NNH Mizuki > Giá trị đầu tư: > 750.000.000.000,numeric__Southgate > Giá trị đầu tư: > 916.500.000.000,numeric__Tổng cộng > Giá trị đầu tư: > 1.667.334.000.000
Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,,,,
Số đầu năm,Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Số đầu năm,Số đầu năm,678.086.056,10.725.128.737,1.274.457.948,12.677.672.741,678086056.0,10725128737.0,1274457948.0,12677672741.0
"Phần lãi (lỗ) từcông ty liên kết,liên doanh","Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Phần lãi (lỗ) từcông ty liên kết,liên doanh","Phần lãi (lỗ) từcông ty liên kết,liên doanh",488.901.123,128.110.129.549,(2.222.880.687),126.376.149.985,488901123.0,128110129549.0,-2222880687.0,126376149985.0
Số cuối năm,Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Số cuối năm,Số cuối năm,1.166.987.179,138.835.258.286,(948.422.739),139.053.822.726,1166987179.0,138835258286.0,-948422739.0,139053822726.0
Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,,,,
Số đầu năm,Giá trị ghi sổ: > Số đầu năm,Số đầu năm,1.512.086.056,760.725.128.737,917.774.457.948,1.680.011.672.741,1512086056.0,760725128737.0,917774457948.0,1680011672741.0
Số cuối năm,Giá trị ghi sổ: > Số cuối năm,Số cuối năm,2.000.987.179,888.835.258.286,915.551.577.261,1.806.387.822.726,2000987179.0,888835258286.0,915551577261.0,1806387822726.0
