row_label_raw,row_label_full,col_0,Lợi thế thương mại phát sinh từ khoản đầu tư vào Nguyên Sơn,Lợi thế thương mại phát sinh từ khoản đầu tư vào 6D,Tổng cộng,numeric__Lợi thế thương mại phát sinh từ khoản đầu tư vào Nguyên Sơn,numeric__Lợi thế thương mại phát sinh từ khoản đầu tư vào 6D,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,32.906.583.473,-,32.906.583.473,32906583473.0,,32906583473.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,-,7.601.818.460,7.601.818.460,,7601818460.0,7601818460.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,32.906.583.473,7.601.818.460,40.508.401.933,32906583473.0,7601818460.0,40508401933.0
Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,,,
Số đầu năm,Giá trị hao mòn: > Số đầu năm,Số đầu năm,(29.132.789.043),-,(29.132.789.043),-29132789043.0,,-29132789043.0
Hao mòn trong năm,Giá trị hao mòn: > Hao mòn trong năm,Hao mòn trong năm,(3.773.794.430),(760.181.850),(4.533.976.280),-3773794430.0,-760181850.0,-4533976280.0
Số cuối năm,Giá trị hao mòn: > Số cuối năm,Số cuối năm,(32.906.583.473),(760.181.850),(33.666.765.323),-32906583473.0,-760181850.0,-33666765323.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,3.773.794.430,-,3.773.794.430,3773794430.0,,3773794430.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,6.841.636.610,6.841.636.610,,6841636610.0,6841636610.0
