row_label_raw,row_label_full,Dự án Hoàng Nam,Giá trị theo hợp đồng > 2.066.794.337.992,Giá trị đã ghi nhận > (311.190.224.000),VNDGiá trị cam kết còn lại > 1.755.604.113.992,numeric__Giá trị theo hợp đồng > 2.066.794.337.992,numeric__Giá trị đã ghi nhận > (311.190.224.000),numeric__VNDGiá trị cam kết còn lại > 1.755.604.113.992
Dự án Nguyên Sơn,Dự án Nguyên Sơn,Dự án Nguyên Sơn,678.003.747.791,(360.860.865.908),317.142.881.883,678003747791.0,-360860865908.0,317142881883.0
Dự án Novia,Dự án Novia,Dự án Novia,311.255.794.316,(240.965.350.685),70.290.443.631,311255794316.0,-240965350685.0,70290443631.0
Dự án Phú Hữu,Dự án Phú Hữu,Dự án Phú Hữu,150.677.234.882,(119.101.904.251),31.575.330.631,150677234882.0,-119101904251.0,31575330631.0
Dự án Long An,Dự án Long An,Dự án Long An,112.406.491.711,(32.766.740.000),79.639.751.711,112406491711.0,-32766740000.0,79639751711.0
Dự án Ehome,Dự án Ehome,Dự án Ehome,69.676.731.440,(16.559.111.773),53.117.619.667,69676731440.0,-16559111773.0,53117619667.0
Dự án Southgate,Dự án Southgate,Dự án Southgate,64.014.660.000,(18.779.540.000),45.235.120.000,64014660000.0,-18779540000.0,45235120000.0
Dự án VSIP Hải Phòng,Dự án VSIP Hải Phòng,Dự án VSIP Hải Phòng,23.900.510.000,(4.680.220.000),19.220.290.000,23900510000.0,-4680220000.0,19220290000.0
Khác,Khác,Khác,135.556.235.580,(60.946.566.307),74.609.669.273,135556235580.0,-60946566307.0,74609669273.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.612.285.743.712,(1.165.850.522.924),2.446.435.220.788,3612285743712.0,-1165850522924.0,2446435220788.0
