row_label_raw,row_label_full,Lợi ích của cổ đông không kiểm soát,..,numeric__..
Lãi từ giao dịch mua giá rễ (TM số 33),Lãi từ giao dịch mua giá rễ (TM số 33),Lãi từ giao dịch mua giá rễ (TM số 33),381.365.125.769,381365125769.0
Tổng giá phí đầu tư,Tổng giá phí đầu tư,Tổng giá phí đầu tư,(1.149.781.247.549),-1149781247549.0
