row_label_raw,row_label_full,col_0,col_1,Số cuối năm,VND Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,-,236.988.551.748,,,236988551748.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,73.789.212.750,39.200.000.000,,73789212750.0,39200000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,73.789.212.750,276.188.551.748,,73789212750.0,276188551748.0
Chi tiết các khoản phải thu về cho vay như sau:,Chi tiết các khoản phải thu về cho vay như sau:,Chi tiết các khoản phải thu về cho vay như sau:,Chi tiết các khoản phải thu về cho vay như sau:,Chi tiết các khoản phải thu về cho vay như sau:,Chi tiết các khoản phải thu về cho vay như sau:,,,
Bên vay,Bên vay,Bên vay,Số cuối năm VND,Ngày đáo hạn,Lãi suất %/năm,,,
Ông Nguyễn Thành Đồng,Ông Nguyễn Thành Đồng,Ông Nguyễn Thành Đồng,Ông Nguyễn Thành Đồng,Ông Nguyễn Thành Đồng,Ông Nguyễn Thành Đồng,,,
Khoản vay 1,Ông Nguyễn Thành Đồng > Khoản vay 1,Khoản vay 1,16.230.004.170,Ngày 24 tháng 4 năm 2021,"6,0",16230004170.0,,6.0
Khoản vay 2,Ông Nguyễn Thành Đồng > Khoản vay 2,Khoản vay 2,8.040.960.000,Ngày 24 tháng 4 năm 2021,"6,0",8040960000.0,,6.0
,,,24.270.964.170,,,24270964170.0,,
Bà Vũ Bích Lan,Bà Vũ Bích Lan,Bà Vũ Bích Lan,Bà Vũ Bích Lan,Bà Vũ Bích Lan,Bà Vũ Bích Lan,,,
Khoản vay 1,Bà Vũ Bích Lan > Khoản vay 1,Khoản vay 1,31.318.248.580,Ngày 24 tháng 4 năm 2021,"6,0",31318248580.0,,6.0
Khoản vay 2,Bà Vũ Bích Lan > Khoản vay 2,Khoản vay 2,18.200.000.000,Ngày 24 tháng 4 năm 2021,"6,0",18200000000.0,,6.0
,,,49.518.248.580,,,49518248580.0,,
TỔNG CỘNG,Bà Vũ Bích Lan > TỔNG CỘNG,TỔNG CỘNG,73.789.212.750,,,73789212750.0,,
Trong đó:- Cho vay ngắn hạn- Cho vay dài hạn,Bà Vũ Bích Lan > Trong đó:- Cho vay ngắn hạn- Cho vay dài hạn,Trong đó:- Cho vay ngắn hạn- Cho vay dài hạn,Trong đó:- Cho vay ngắn hạn- Cho vay dài hạn,73.789.212.750,,,73789212750.0,
