row_label_raw,row_label_full,Các bênliên quan,Môi quan hệ,Nội dungnghiệp vụ,Năm nay,Năm trước,numeric__Môi quan hệ,numeric__Nội dungnghiệp vụ,numeric__Năm nay,numeric__Năm trước
Southgate,Southgate,Southgate,Công tyliên doanh,Bán dự án (*)Dịch vụ tổng thầu (*)Góp vốn HĐHTKD,-335.964.913.165-,791.500.000.00074.359.327.272916.500.000.000,,,,7.915000000007436e+34
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công tyliên doanh,Dịch vụ tổng thầu (*)Bán căn hộvà nhà phố (*)Cho thuê (*)Góp vốn,160.904.361.903154.939.703.704118.055.454-,153.086.799.299-66.818.1825.650.000.000,,,,
(*) Doanh thu cho bên liên quan (TM số 29.1),NNH Mizuki > (*) Doanh thu cho bên liên quan (TM số 29.1),(*) Doanh thu cho bên liên quan (TM số 29.1),(*) Doanh thu cho bên liên quan (TM số 29.1),(*) Doanh thu cho bên liên quan (TM số 29.1),651.927.034.226,1.019.012.944.753,,,651927034226.0,1019012944753.0
