row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Nhà cửa,vật kiến trúc",VNDTổng cộng,numeric__Quyềnsử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,9.483.265.826,47.397.353.372,56.880.619.198,9483265826.0,47397353372.0,56880619198.0
Chuyển từ hàng tồn kho,Nguyên giá: > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,155.766.977.151,155.766.977.151,,155766977151.0,155766977151.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,1.857.600.000,-,1.857.600.000,1857600000.0,,1857600000.0
Chuyển sang tài sản,Nguyên giá: > Chuyển sang tài sản,Chuyển sang tài sản,(1.413.183.687),(3.037.223.811),(4.450.407.498),-1413183687.0,-3037223811.0,-4450407498.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,9.927.682.139,200.127.106.712,210.054.788.851,9927682139.0,200127106712.0,210054788851.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,702.721.672,816.491.827,1.519.213.499,702721672.0,816491827.0,1519213499.0
Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,,,
Số đầu năm,Giá trị khấu hao và hao mòn lũy kế: > Số đầu năm,Số đầu năm,(8.831.657.249),(10.365.366.716),(19.197.023.965),-8831657249.0,-10365366716.0,-19197023965.0
Tăng trong năm,Giá trị khấu hao và hao mòn lũy kế: > Tăng trong năm,Tăng trong năm,(26.302.301),(7.254.020.823),(7.280.323.124),-26302301.0,-7254020823.0,-7280323124.0
Chuyển sang tài sản,Giá trị khấu hao và hao mòn lũy kế: > Chuyển sang tài sản,Chuyển sang tài sản,169.044.510,1.670.761.576,1.839.806.086,169044510.0,1670761576.0,1839806086.0
Số cuối năm,Giá trị khấu hao và hao mòn lũy kế: > Số cuối năm,Số cuối năm,(8.688.915.040),(15.948.625.963),(24.637.541.003),-8688915040.0,-15948625963.0,-24637541003.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,651.608.577,37.031.986.656,37.683.595.233,651608577.0,37031986656.0,37683595233.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.238.767.099,184.178.480.749,185.417.247.848,1238767099.0,184178480749.0,185417247848.0
