row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Quyền chọn chuyển đổi trái phiếu,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.572.264.090.000,492.051.147.061,(60.464.200.000),10.929.726.999,1.088.759.118,863.748.460.570,40.503.427.830,2.920.121.411.578,1572264090000.0,492051147061.0,-60464200000.0,10929726999.0,1088759118.0,863748460570.0,40503427830.0,2920121411578.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,331.258.970.000,250.839.856.000,-,-,-,-,-,582.098.826.000,331258970000.0,250839856000.0,,,,,,582098826000.0
Cổ phiếu quỹ,Năm trước > Cổ phiếu quỹ,Cổ phiếu quỹ,-,-,(25.739.208.000),-,-,-,-,(25.739.208.000),,,-25739208000.0,,,,,-25739208000.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,212.242.570.000,-,-,-,-,(212.242.570.000),-,-,212242570000.0,,,,,-212242570000.0,,
Chuyển đổi trái phiếu chuyển đổi,Năm trước > Chuyển đổi trái phiếu chuyển đổi,Chuyển đổi trái phiếu chuyển đổi,275.603.550.000,245.617.361.306,-,-,-,-,(40.503.427.830),480.717.483.476,275603550000.0,245617361306.0,,,,,-40503427830.0,480717483476.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,763.470.215.198,-,763.470.215.198,,,,,,763470215198.0,,763470215198.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,(79.266.995.820),-,(79.266.995.820),,,,,,-79266995820.0,,-79266995820.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(32.704.832.609),-,(32.704.832.609),,,,,,-32704832609.0,,-32704832609.0
Phân phối lợi nhuận,Năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,9.289.552.591,(9.289.552.591),-,-,,,,,9289552591.0,-9289552591.0,,
Sử dụng quỹ,Năm trước > Sử dụng quỹ,Sử dụng quỹ,-,-,-,(220.236.576),(8.161.700.570),-,-,(8.381.937.146),,,,-220236576.0,-8161700570.0,,,-8381937146.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.391.369.180.000,988.508.364.367,(86.203.408.000),10.709.490.423,2.216.611.139,1.293.714.724.748,-,4.600.314.962.677,2391369180000.0,988508364367.0,-86203408000.0,10709490423.0,2216611139.0,1293714724748.0,,4600314962677.0
