row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Thương hiệu VND,Vùng nguyên liệu VND,Phần mềm máy vi tính VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Thương hiệu VND,numeric__Vùng nguyên liệu VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,710.981.415.640,276.413.594.392,164.964.058.635,139.569.334.400,49.736.400.000,1.341.664.803.067,710981415640.0,276413594392.0,164964058635.0,139569334400.0,49736400000.0,1341664803067.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,1.095.070.682,-,1.095.070.682,,,,1095070682.0,,1095070682.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,-,1.209.641.917,-,1.209.641.917,,,,1209641917.0,,1209641917.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,7.463.917.554,-,-,232.482.397,1.757.699.288,9.454.099.239,7463917554.0,,,232482397.0,1757699288.0,9454099239.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,718.445.333.194,276.413.594.392,164.964.058.635,142.106.529.396,51.494.099.288,1.353.423.614.905,718445333194.0,276413594392.0,164964058635.0,142106529396.0,51494099288.0,1353423614905.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,50.962.771.439,32.519.246.399,21.995.207.818,115.991.209.086,33.692.399.995,255.160.834.737,50962771439.0,32519246399.0,21995207818.0,115991209086.0,33692399995.0,255160834737.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,16.564.385.127,16.259.623.199,10.997.603.909,10.298.256.342,-,54.119.868.577,16564385127.0,16259623199.0,10997603909.0,10298256342.0,,54119868577.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,111.076.079,1.190.699.994,1.301.776.073,,,,111076079.0,1190699994.0,1301776073.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,67.527.156.566,48.778.869.598,32.992.811.727,126.400.541.507,34.883.099.989,310.582.479.387,67527156566.0,48778869598.0,32992811727.0,126400541507.0,34883099989.0,310582479387.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,660.018.644.201,243.894.347.993,142.968.850.817,23.578.125.314,16.044.000.005,1.086.503.968.330,660018644201.0,243894347993.0,142968850817.0,23578125314.0,16044000005.0,1086503968330.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,650.918.176.628,227.634.724.794,131.971.246.908,15.705.987.889,16.610.999.299,1.042.841.135.518,650918176628.0,227634724794.0,131971246908.0,15705987889.0,16610999299.0,1042841135518.0
