row_label_raw,row_label_full,Phải trả người bán là các bên liên quan,Phải trả người bán là các bên liên quan_1,Phải trả người bán là các bên liên quan_2,numeric__Phải trả người bán là các bên liên quan_1,numeric__Phải trả người bán là các bên liên quan_2
,,,31/12/2022VND,1/1/2022VND,,
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,,
Công ty Cổ phần APIS,Các công ty liên kết > Công ty Cổ phần APIS,Công ty Cổ phần APIS,84.876.556.696,57.204.285.214,84876556696.0,57204285214.0
Công ty Cổ phần Chế biến Dừa Á Châu,Các công ty liên kết > Công ty Cổ phần Chế biến Dừa Á Châu,Công ty Cổ phần Chế biến Dừa Á Châu,2.503.728.482,2.577.889.096,2503728482.0,2577889096.0
Miraka Holdings Limited,Các công ty liên kết > Miraka Holdings Limited,Miraka Holdings Limited,133.471.803.087,-,133471803087.0,
Công ty Cổ phần Nguyên Liệu Thực Phẩm Á Châu Sài Gòn,Các công ty liên kết > Công ty Cổ phần Nguyên Liệu Thực Phẩm Á Châu Sài Gòn,Công ty Cổ phần Nguyên Liệu Thực Phẩm Á Châu Sài Gòn,388.800.000,-,388800000.0,
