row_label_raw,row_label_full,Tiền chi mua tài sản cố định và tài sản dài hạn khác,21,(1.456.914.052.616),(1.531.025.359.270),numeric__21,numeric__(1.456.914.052.616),numeric__(1.531.025.359.270)
Tiền thu từ thanh lý tài sản cố định và xây dựng cơ bản dở dang,Tiền thu từ thanh lý tài sản cố định và xây dựng cơ bản dở dang,Tiền thu từ thanh lý tài sản cố định và xây dựng cơ bản dở dang,22,137.125.557.857,133.904.995.529,22.0,137125557857.0,133904995529.0
Tiền chi tiền gửi có kì hạn,Tiền chi tiền gửi có kì hạn,Tiền chi tiền gửi có kì hạn,23,-,(3.514.465.835.454),23.0,,-3514465835454.0
Tiền thu tiền gửi có kì hạn,Tiền thu tiền gửi có kì hạn,Tiền thu tiền gửi có kì hạn,24,3.634.715.046.607,-,24.0,3634715046607.0,
Tiền thu hồi cho vay,Tiền thu hồi cho vay,Tiền thu hồi cho vay,24,-,150.000.000,24.0,,150000000.0
Tiền chi đầu tư góp vốn vào các đơn vị khác,Tiền chi đầu tư góp vốn vào các đơn vị khác,Tiền chi đầu tư góp vốn vào các đơn vị khác,25,(43.175.000.000),(23.227.732.575),25.0,-43175000000.0,-23227732575.0
Tiền thu hồi đầu tư vào các đơn vị khác,Tiền thu hồi đầu tư vào các đơn vị khác,Tiền thu hồi đầu tư vào các đơn vị khác,26,-,1.336.500.000,26.0,,1336500000.0
Tiền thu lãi tiền gửi và cổ tức,Tiền thu lãi tiền gửi và cổ tức,Tiền thu lãi tiền gửi và cổ tức,27,1.201.019.963.250,1.000.079.344.561,27.0,1201019963250.0,1000079344561.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,3.472.771.515.098,(3.933.248.087.209),30.0,3472771515098.0,-3933248087209.0
