row_label_raw,row_label_full,col_0,31/12/2022 > % vốnsở hữu vàquyềnbiểu quyết,31/12/2022 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/giá gốcVND,31/12/2022 > Giá trịhợp lýVND,31/12/2022 > Dự phònggiảm giáVND,1/1/2022 > % vốnsở hữu vàquyền biểu quyết,1/1/2022 > Giá trị ghi nhận theo phương pháp vốnchủ sở hữu/giá gốcVND,1/1/2022 > Giá trịhợp lýVND,1/1/2022 > Dự phònggiảm giáVND,numeric__31/12/2022 > % vốnsở hữu vàquyềnbiểu quyết,numeric__31/12/2022 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/giá gốcVND,numeric__31/12/2022 > Giá trịhợp lýVND,numeric__31/12/2022 > Dự phònggiảm giáVND,numeric__1/1/2022 > % vốnsở hữu vàquyền biểu quyết,numeric__1/1/2022 > Giá trị ghi nhận theo phương pháp vốnchủ sở hữu/giá gốcVND,numeric__1/1/2022 > Giá trịhợp lýVND,numeric__1/1/2022 > Dự phònggiảm giáVND
"Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết",,,,,,,,
▪ Miraka Holdings Limited,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Miraka Holdings Limited",▪ Miraka Holdings Limited,"16,96%",287.362.154.997,(*),-,"22,81%",325.236.308.653,(*),-,0.1696,287362154997.0,,,0.2281,325236308653.0,,
▪ Công ty Cổ phần APIS,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Công ty Cổ phần APIS",▪ Công ty Cổ phần APIS,"20,00%",39.499.496.146,(*),-,"20,00%",32.456.749.642,(*),-,0.2,39499496146.0,,,0.2,32456749642.0,,
▪ Công ty Cổ phần Chế biến Dừa Á Châu,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Công ty Cổ phần Chế biến Dừa Á Châu",▪ Công ty Cổ phần Chế biến Dừa Á Châu,"24,96%",150.355.490.875,(*),-,"24,96%",106.218.560.860,(*),-,0.24960000000000002,150355490875.0,,,0.24960000000000002,106218560860.0,,
"▪ Del Monte – Vinamilk Dairy Inc., Philippines","Đầu tư vào các công ty liên doanh, liên kết > ▪ Del Monte – Vinamilk Dairy Inc., Philippines","▪ Del Monte – Vinamilk Dairy Inc., Philippines","50,00%",593.854.138,(*),-,"50,00%",4.285.501.160,(*),-,0.5,593854138.0,,,0.5,4285501160.0,,
▪ Các công ty liên kết sở hữu gián tiếp thông qua Tổng Công ty Chăn nuôi Việt Nam– Công ty Cổ phần,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Các công ty liên kết sở hữu gián tiếp thông qua Tổng Công ty Chăn nuôi Việt Nam– Công ty Cổ phần",▪ Các công ty liên kết sở hữu gián tiếp thông qua Tổng Công ty Chăn nuôi Việt Nam– Công ty Cổ phần,,186.491.781.862,(*),-,,192.826.634.107,(*),-,,186491781862.0,,,,192826634107.0,,
,,,,664.302.778.018,,-,,661.023.754.422,,-,,664302778018.0,,,,661023754422.0,,
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,,,,,,,,
▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,Đầu tư góp vốn vào các đơn vị khác > ▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,"14,71%",69.261.607.154,(*),-,"14,71%",69.261.607.154,(*),-,0.1471,69261607154.0,,,0.1471,69261607154.0,,
▪ Nhà thuốc – Phòng khám đa khoa An Khang,Đầu tư góp vốn vào các đơn vị khác > ▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,,300.000.000,(*),-,,300.000.000,(*),-,,300000000.0,,,,300000000.0,,
▪ Các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác > ▪ Các đơn vị khác,▪ Các đơn vị khác,,32.388.611.927,(*),(23.582.690.668),,32.359.451.927,(*),(19.082.789.672),,32388611927.0,,-23582690668.0,,32359451927.0,,-19082789672.0
,,,,101.950.219.081,,(23.582.690.668),,101.921.059.081,,(19.082.789.672),,101950219081.0,,-23582690668.0,,101921059081.0,,-19082789672.0
,,,,766.252.997.099,,(23.582.690.668),,762.944.813.503,,(19.082.789.672),,766252997099.0,,-23582690668.0,,762944813503.0,,-19082789672.0
