row_label_raw,row_label_full,Tiền thu từ bán cổ phiếu quỹ,31,-,60.119.994.553,numeric__31,numeric__-,numeric__60.119.994.553
Tiền thu từ phát hành cổ phiếu bởicông ty con cho cổ đông không kiểm soát,Tiền thu từ phát hành cổ phiếu bởicông ty con cho cổ đông không kiểm soát,Tiền thu từ phát hành cổ phiếu bởicông ty con cho cổ đông không kiểm soát,31,-,39.200.670.000,31.0,,39200670000.0
Tiền thu từ nhận vốn góp của cổ đôngkhông kiểm soát,Tiền thu từ nhận vốn góp của cổ đôngkhông kiểm soát,Tiền thu từ nhận vốn góp của cổ đôngkhông kiểm soát,31,338.100.000.000,218.540.000.000,31.0,338100000000.0,218540000000.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,6.257.530.054.586,9.596.960.360.003,33.0,6257530054586.0,9596960360003.0
Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,34,(10.789.019.801.789),(7.551.460.199.195),34.0,-10789019801789.0,-7551460199195.0
Tiền chi trả cổ tức,Tiền chi trả cổ tức,Tiền chi trả cổ tức,36,(8.046.328.463.250),(7.523.560.503.000),36.0,-8046328463250.0,-7523560503000.0
Tiền chi trả cổ tức của các công ty conchia cho cổ đông không kiểm soát,Tiền chi trả cổ tức của các công ty conchia cho cổ đông không kiểm soát,Tiền chi trả cổ tức của các công ty conchia cho cổ đông không kiểm soát,36,(120.571.155.470),(97.197.960.150),36.0,-120571155470.0,-97197960150.0
Lưu chuyển tiền thuần từ hoạt độngtài chính,Lưu chuyển tiền thuần từ hoạt độngtài chính,Lưu chuyển tiền thuần từ hoạt độngtài chính,40,(12.360.289.365.923),(5.257.397.637.789),40.0,-12360289365923.0,-5257397637789.0
