row_label_raw,row_label_full,col_0,1/1/2015Giá trị ghi sổ và sốcó khả năng trả nợVNDĐã phân loại lại,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,Biến động trong năm > Phân loại lạiVND,Chênh lệchtỷ giáVND,31/12/2015Giá trị ghi sổ và số cókhả năng trả nợVND,numeric__1/1/2015Giá trị ghi sổ và sốcó khả năng trả nợVNDĐã phân loại lại,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__Biến động trong năm > Phân loại lạiVND,numeric__Chênh lệchtỷ giáVND,numeric__31/12/2015Giá trị ghi sổ và số cókhả năng trả nợVND
Vay ngắn hạn (i),Vay ngắn hạn (i),Vay ngắn hạn (i),14.960.928.932.746,79.045.799.073.766,(82.338.329.672.830),10.338.762.226,347.086.231.666,12.025.823.327.574,14960928932746.0,79045799073766.0,-82338329672830.0,10338762226.0,347086231666.0,12025823327574.0
Vay dài hạn đếnhạn trả (b),Vay dài hạn đếnhạn trả (b),Vay dài hạn đếnhạn trả (b),622.642.188.410,26.018.240.200,(571.081.847.113),431.489.443.003,25.349.887.830,534.417.912.330,622642188410.0,26018240200.0,-571081847113.0,431489443003.0,25349887830.0,534417912330.0
,,,15.583.571.121.156,79.071.817.313.966,(82.909.411.519.943),441.828.205.229,372.436.119.496,12.560.241.239.904,15583571121156.0,79071817313966.0,-82909411519943.0,441828205229.0,372436119496.0,12560241239904.0
