row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Đã phân loại lại
Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 250 + 260),200,,20.500.581.340.587,20.822.125.533.419,200.0,,20500581340587.0,20822125533419.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,27.521.499.922,86.636.931.481,210.0,,27521499922.0,86636931481.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,211,,19.862.629.851,3.242.092.650,211.0,,19862629851.0,3242092650.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,39.614.710.204,102.568.064.219,216.0,,39614710204.0,102568064219.0
Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,219,,(31.955.840.133),(19.173.225.388),219.0,,-31955840133.0,-19173225388.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,15.214.132.720.263,15.837.436.997.212,220.0,,15214132720263.0,15837436997212.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,12,12.986.243.311.772,12.802.213.978.943,221.0,12.0,12986243311772.0,12802213978943.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,25.798.787.494.537,24.201.501.457.551,222.0,,25798787494537.0,24201501457551.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(12.812.544.182.765),(11.399.287.478.608),223.0,,-12812544182765.0,-11399287478608.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,13,2.227.889.408.491,3.035.223.018.269,227.0,13.0,2227889408491.0,3035223018269.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,2.664.435.645.296,3.373.633.097.905,228.0,,2664435645296.0,3373633097905.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(436.546.236.805),(338.410.079.636),229.0,,-436546236805.0,-338410079636.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,14,227.672.005.228,200.239.173.412,230.0,14.0,227672005228.0,200239173412.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,269.603.314.638,232.661.807.475,231.0,,269603314638.0,232661807475.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(41.931.309.410),(32.422.634.063),232.0,,-41931309410.0,-32422634063.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,695.206.490.075,928.474.021.731,240.0,,695206490075.0,928474021731.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,15,695.206.490.075,928.474.021.731,242.0,15.0,695206490075.0,928474021731.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,7,2.956.420.484.969,2.454.620.653.062,250.0,7.0,2956420484969.0,2454620653062.0
"Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết",252,,2.264.221.973.376,2.112.246.542.183,252.0,,2264221973376.0,2112246542183.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,344.701.680.616,359.386.545.014,253.0,,344701680616.0,359386545014.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,,(119.003.169.023),(117.012.434.135),254.0,,-119003169023.0,-117012434135.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,255,,466.500.000.000,100.000.000.000,255.0,,466500000000.0,100000000000.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,1.379.628.140.130,1.314.717.756.521,260.0,,1379628140130.0,1314717756521.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,16,1.362.455.542.535,1.293.033.647.954,261.0,16.0,1362455542535.0,1293033647954.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,,4.820.108.228,2.947.169.957,262.0,,4820108228.0,2947169957.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,,7.012.427.989,7.439.163.991,268.0,,7012427989.0,7439163991.0
Lợi thể thương mại,Lợi thể thương mại,Lợi thể thương mại,269,17,5.340.061.378,11.297.774.619,269.0,17.0,5340061378.0,11297774619.0
TỔNG CỘNG TÀI SẢN(270 = 100 + 200),TỔNG CỘNG TÀI SẢN(270 = 100 + 200),TỔNG CỘNG TÀI SẢN(270 = 100 + 200),270,,50.413.942.797.150,55.405.695.937.703,270.0,,50413942797150.0,55405695937703.0
