row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Hoạt động chính,Giá gốc VND,31/12/2015 Dự phòng VND,Giá trị hợp lý VND,Giá gốc VND Đã phân loại,1/1/2015 Dự phòng VND,Giá trị hợp lý VND_1,numeric__Tên công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Giá gốc VND,numeric__31/12/2015 Dự phòng VND,numeric__Giá trị hợp lý VND,numeric__Giá gốc VND Đã phân loại,numeric__1/1/2015 Dự phòng VND,numeric__Giá trị hợp lý VND_1
1,1,1,Công ty Cổ phần Hòa đầu Quản đôi,Hà Nội,Kinh doanh xăng dầu,50.000.000.000,-,(*),50.000.000.000,-,(*),,,,50000000000.0,,,50000000000.0,,
2,2,2,Ngân hàng TMCP Xuất nhập khẩu (Eximbank),TP Hồ Chí Minh,Kinh doanh dịch vụ ngân hàng,49.913.937.200,-,27.675.713.050,49.913.937.200,-,31.629.386.342,,,,49913937200.0,,27675713050.0,49913937200.0,,31629386342.0
3,3,3,Công ty Cổ phần An Phú,Hà Nội,Kinh doanh xăng dầu,110.724.000.000,(106.592.800.000),(*),110.724.000.000,(106.592.800.000),(*),,,,110724000000.0,-106592800000.0,,110724000000.0,-106592800000.0,
4,4,4,Các công ty khác,,,134.063.743.416,(8.513.346.084),(*),148.748.607.814,(10.419.634.135),(*),,,,134063743416.0,-8513346084.0,,148748607814.0,-10419634135.0,
,,,,,,344.701.680.616,(115.106.146.084),(*),359.386.545.014,(117.012.434.135),(*),,,,344701680616.0,-115106146084.0,,359386545014.0,-117012434135.0,
