row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2015 VND,2014 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__2015 VND,numeric__2014 VND Đã phân loại lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,,146.945.357.985.342,206.812.748.929.890,1.0,,146945357985342.0,206812748929890.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,29.236.553.896,31.836.913.469,2.0,,29236553896.0,31836913469.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,5,146.916.121.431.446,206.780.912.016.421,10.0,5.0,146916121431446.0,206780912016421.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,5,134.074.930.094.873,199.624.380.365.716,11.0,5.0,134074930094873.0,199624380365716.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,12.841.191.336.573,7.156.531.650.705,20.0,,12841191336573.0,7156531650705.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,28,798.808.629.518,816.945.586.852,21.0,28.0,798808629518.0,816945586852.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,29,2.590.604.235.528,1.578.081.845.987,22.0,29.0,2590604235528.0,1578081845987.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,586.069.449.690,705.878.540.915,23.0,,586069449690.0,705878540915.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,30,504.994.646.325,406.021.500.196,24.0,30.0,504994646325.0,406021500196.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,31,6.886.253.994.863,6.098.338.633.767,25.0,31.0,6886253994863.0,6098338633767.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,,979.826.044.696,833.513.259.394,26.0,,979826044696.0,833513259394.0
Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,3.688.310.337.329,(130.435.001.395),30.0,,3688310337329.0,-130435001395.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,358.365.521.592,746.822.654.627,31.0,,358365521592.0,746822654627.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,298.998.315.878,294.803.307.217,32.0,,298998315878.0,294803307217.0
Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),40,,59.367.205.714,452.019.347.410,40.0,,59367205714.0,452019347410.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,3.747.677.543.043,321.584.346.015,50.0,,3747677543043.0,321584346015.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,33,689.081.358.133,329.572.579.833,51.0,33.0,689081358133.0,329572579833.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,33,1.060.768.149,1.100.176.854,52.0,33.0,1060768149.0,1100176854.0
Lợi nhuận/(lỗ) sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),Lợi nhuận/(lỗ) sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),Lợi nhuận/(lỗ) sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),60,,3.057.535.416.761,(9.088.410.672),60.0,,3057535416761.0,-9088410672.0
