row_label_raw,row_label_full,col_0,2014(theo báo cáotrước đây)VND,Điều chỉnh tạicác công ty conVND,Phân loại lại theoThông tư 200VND,2014(phân loại lại)VND,numeric__2014(theo báo cáotrước đây)VND,numeric__Điều chỉnh tạicác công ty conVND,numeric__Phân loại lại theoThông tư 200VND,numeric__2014(phân loại lại)VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,(212.185.664.022.685),-,5.372.915.092.795,(206.812.748.929.890),-212185664022685.0,,5372915092795.0,-206812748929890.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,5.404.752.006.264,-,(5.372.915.092.795),31.836.913.469,5404752006264.0,,-5372915092795.0,31836913469.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,199.683.644.176.071,(59.263.810.355),-,199.624.380.365.716,199683644176071.0,-59263810355.0,,199624380365716.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,6.039.074.823.412,59.263.810.355,-,6.098.338.633.767,6039074823412.0,59263810355.0,,6098338633767.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,(772.090.072.657),-,25.267.418.030,(746.822.654.627),-772090072657.0,,25267418030.0,-746822654627.0
Chi phí khác,Chi phí khác,Chi phí khác,320.070.725.247,-,(25.267.418.030),294.803.307.217,320070725247.0,,-25267418030.0,294803307217.0
