row_label_raw,row_label_full,col_0,1/1/2015(theo báo cáotrước dây)VND,Điều chỉnh tạicác công ty conVND,Phân loại lại theoThông tư 200VND,31/12/2015(phân loại lại)VND,numeric__1/1/2015(theo báo cáotrước dây)VND,numeric__Điều chỉnh tạicác công ty conVND,numeric__Phân loại lại theoThông tư 200VND,numeric__31/12/2015(phân loại lại)VND
Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,(153.839.856.604),21.252.420.600,-,(132.587.436.004),-153839856604.0,21252420600.0,,-132587436004.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,-,-,(70.038.661.189),(70.038.661.189),,,-70038661189.0,-70038661189.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(554.017.526.665),-,43.704.055.033,(510.313.471.632),-554017526665.0,,43704055033.0,-510313471632.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(15.564.520.651.015),(19.050.470.141),-,(15.583.571.121.156),-15564520651015.0,-19050470141.0,,-15583571121156.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,(2.443.211.330.331),(21.252.420.600),-,(2.464.463.750.931),-2443211330331.0,-21252420600.0,,-2464463750931.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,(216.980.000),-,207.480.000,(9.500.000),-216980000.0,,207480000.0,-9500000.0
Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,-,-,(32.193.709.750),(32.193.709.750),,,-32193709750.0,-32193709750.0
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,(16.351.983.579),-,9.566.387.361,(6.785.596.218),-16351983579.0,,9566387361.0,-6785596218.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,(177.175.877.631),-,9.136.814.538,(168.039.063.093),-177175877631.0,,9136814538.0,-168039063093.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,(3.251.856.680.980),18.789.938.412,-,(3.233.066.742.568),-3251856680980.0,18789938412.0,,-3233066742568.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,(558.880.195.083),-,(174.495.066.154),(733.375.261.237),-558880195083.0,,-174495066154.0,-733375261237.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,(174.495.066.154),-,174.495.066.154,-,-174495066154.0,,174495066154.0,
