row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Bản quyền phần mềm VND,Phần mềm máy vi tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Bản quyền phần mềm VND,numeric__Phần mềm máy vi tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.989.313.019.490,12.117.692.019,354.343.298.471,17.859.087.925,3.373.633.097.905,2989313019490.0,12117692019.0,354343298471.0,17859087925.0,3373633097905.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,59.310.418.380,1.464.721.000,29.673.337.231,-,90.448.476.611,59310418380.0,1464721000.0,29673337231.0,,90448476611.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,41.905.878.695,-,33.567.793.570,2.006.826.879,77.480.499.144,41905878695.0,,33567793570.0,2006826879.0,77480499144.0
Chuyển từ bất động sản đầu tư,Nguyên giá > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,1.860.950.110,-,-,-,1.860.950.110,1860950110.0,,,,1860950110.0
Điều chỉnh giảm trong năm (i),Nguyên giá > Điều chỉnh giảm trong năm (i),Điều chỉnh giảm trong năm (i),(883.329.466.932),-,-,-,(883.329.466.932),-883329466932.0,,,,-883329466932.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(3.920.007.838),-,(187.800.000),(40.000.000),(4.147.807.838),-3920007838.0,,-187800000.0,-40000000.0,-4147807838.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,2.725.579.750,(129.684.809),4.320.757.352,1.573.244.003,8.489.896.296,2725579750.0,-129684809.0,4320757352.0,1573244003.0,8489896296.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.207.866.371.655,13.452.728.210,421.717.386.624,21.399.158.807,2.664.435.645.296,2207866371655.0,13452728210.0,421717386624.0,21399158807.0,2664435645296.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,160.518.017.590,1.862.761.362,164.141.696.460,11.887.604.224,338.410.079.636,160518017590.0,1862761362.0,164141696460.0,11887604224.0,338410079636.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,25.240.104.730,1.774.142.242,72.356.192.849,1.626.691.561,100.997.131.382,25240104730.0,1774142242.0,72356192849.0,1626691561.0,100997131382.0
Chuyển từ bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,229.761.720,-,-,-,229.761.720,229761720.0,,,,229761720.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(60.000.000),(40.000.000),(100.000.000),,,-60000000.0,-40000000.0,-100000000.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(5.101.399.302),995.989.845,303.159.491,811.514.033,(2.990.735.933),-5101399302.0,995989845.0,303159491.0,811514033.0,-2990735933.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,180.886.484.738,4.632.893.449,236.741.048.800,14.285.809.818,436.546.236.805,180886484738.0,4632893449.0,236741048800.0,14285809818.0,436546236805.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.828.795.001.900,10.254.930.657,190.201.602.011,5.971.483.701,3.035.223.018.269,2828795001900.0,10254930657.0,190201602011.0,5971483701.0,3035223018269.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.026.979.886.917,8.819.834.761,184.976.337.824,7.113.348.989,2.227.889.408.491,2026979886917.0,8819834761.0,184976337824.0,7113348989.0,2227889408491.0
