row_label_raw,row_label_full,col_0,31/12/2015VND,1/1/2015VNDĐã phân loại lại,numeric__31/12/2015VND,numeric__1/1/2015VNDĐã phân loại lại
Phải thu về cổ phần hóa (i),Phải thu về cổ phần hóa (i),Phải thu về cổ phần hóa (i),1.397.628.308.188,1.480.864.675.978,1397628308188.0,1480864675978.0
Thuế phát sinh tại khâu nhập khẩu nộp thừa,Thuế phát sinh tại khâu nhập khẩu nộp thừa,Thuế phát sinh tại khâu nhập khẩu nộp thừa,85.411.561.345,96.863.169.569,85411561345.0,96863169569.0
Ký quỹ chứng khoán,Ký quỹ chứng khoán,Ký quỹ chứng khoán,-,356.313.128.944,,356313128944.0
Thuế phải nộp hàng đang đi đường tạm nộp,Thuế phải nộp hàng đang đi đường tạm nộp,Thuế phải nộp hàng đang đi đường tạm nộp,-,542.037.596.165,,542037596165.0
Ngân sách Nhà nước,Ngân sách Nhà nước,Ngân sách Nhà nước,,,,
Phải thu khác,Ngân sách Nhà nước > Phải thu khác,Phải thu khác,468.173.314.726,783.028.357.830,468173314726.0,783028357830.0
,,,1.951.213.184.259,3.259.106.928.486,1951213184259.0,3259106928486.0
