row_label_raw,row_label_full,STT,Tên công ty,Dịa chỉ,Hoạt động chính,31/12/2015 > Tỷ lệ biểu quyết,31/12/2015 > Tỷ lệ sở hữu,31/12/2015 > Giá trị đầu tư theo phương pháp vốn chủ VND,31/12/2015 > Dự phòng VND,31/12/2015 > Giá trị hợp lý VND,31/12/2015 > Tỷ lệ biểu quyết_1,1/1/2015 > Tỷ lệ sở hữu,1/1/2015 > Giá trị đầu tư theo phương pháp vốn chủ VNDĐã phân loại lại,1/1/2015 > Dự phòng VND,1/1/2015 > Giá trị hợp lý VND,numeric__Tên công ty,numeric__Dịa chỉ,numeric__Hoạt động chính,numeric__31/12/2015 > Tỷ lệ biểu quyết,numeric__31/12/2015 > Tỷ lệ sở hữu,numeric__31/12/2015 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__31/12/2015 > Dự phòng VND,numeric__31/12/2015 > Giá trị hợp lý VND,numeric__31/12/2015 > Tỷ lệ biểu quyết_1,numeric__1/1/2015 > Tỷ lệ sở hữu,numeric__1/1/2015 > Giá trị đầu tư theo phương pháp vốn chủ VNDĐã phân loại lại,numeric__1/1/2015 > Dự phòng VND,numeric__1/1/2015 > Giá trị hợp lý VND
Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,Dầu tư góp vốn vào:Công ty liên doanh,,,,,,,,,,,,,
1,Dầu tư góp vốn vào:Công ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,TP Hồ Chí Minh,Chế biến các sản phẩm dầu nhóm,"35,00%","35,00%",564.587.050.198,-,(*),"35,00%","35,00%",432.514.610.108,-,(*),,,,0.35,0.35,564587050198.0,,,0.35,0.35,432514610108.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex (i),Hà Nội,Kinh doanh dịch vụ ngân hàng,"41,85%","40,56%",1.408.229.133.929,-,(*),"41,85%","40,56%",1.393.251.586.839,-,(*),,,,0.41850000000000004,0.4056,1408229133929.0,,,0.41850000000000004,0.4056,1393251586839.0,,
2,Công ty liên kết > 2,2,Công ty CP Thương mại Dịch vụ Cho Gạo (ii),Tiền Giang,Kinh doanh xăng dầu,"29,20%","29,20%",4.220.400.000,-,(*),"29,20%","29,20%",4.220.400.000,-,(*),,,,0.292,0.292,4220400000.0,,,0.292,0.292,4220400000.0,,
3,Công ty liên kết > 3,3,Công ty TNHH Thương mại Xây lắp Diện máy Thăng Long (ii),TP Hồ Chí Minh,Xây dựng và cung cấp thiết bị,"44,44%","13,33%",400.000.000,-,(*),"44,44%","13,33%",400.000.000,-,(*),,,,0.44439999999999996,0.1333,400000000.0,,,0.44439999999999996,0.1333,400000000.0,,
4,Công ty liên kết > 4,4,Công ty CP Xây dựng Công trình giao thông 810 (ii),Hà Nội,Xây dựng công trình,"25,00%","19,76%",4.557.956.000,(1.693.425.308),(*),"25,00%","19,76%",4.557.956.000,-,(*),,,,0.25,0.19760000000000003,4557956000.0,-1693425308.0,,0.25,0.19760000000000003,4557956000.0,,
5,Công ty liên kết > 5,5,Công ty CP TMDV Sửa chữa Ô tô Việt Nam (ii),Hà Nội,Sửa chữa ô tô,"35,55%","35,55%",3.150.000.000,-,(*),"35,55%","35,55%",3.150.000.000,-,(*),,,,0.3555,0.3555,3150000000.0,,,0.3555,0.3555,3150000000.0,,
6,Công ty liên kết > 6,6,Công ty CP Thương mại Tuyên Quang,Tuyên Quang,Kinh doanh thương mại,"33,19%","33,19%",1.430.106.138,-,(*),"33,19%","33,19%",1.102.580.015,-,(*),,,,0.3319,0.3319,1430106138.0,,,0.3319,0.3319,1102580015.0,,
7,Công ty liên kết > 7,7,Công ty CP Vụơn Mé Kông (ii),Tiền Giang,Mua bán hàng hóa,"40,00%","21,60%",12.900.000.000,-,(*),"40,00%","21,60%",12.900.000.000,-,(*),,,,0.4,0.21600000000000003,12900000000.0,,,0.4,0.21600000000000003,12900000000.0,,
