row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sâncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sâncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.084.253.511.163,3.089.546.903.597,10.653.926.535.720,345.169.387.767,28.605.119.304,24.201.501.457.551,10084253511163.0,3089546903597.0,10653926535720.0,345169387767.0,28605119304.0,24201501457551.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,106.224.979.586,175.104.491.555,283.857.798.411,48.494.532.264,2.620.630.239,616.302.432.055,106224979586.0,175104491555.0,283857798411.0,48494532264.0,2620630239.0,616302432055.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,110.299.057.466,-,-,-,-,110.299.057.466,110299057466.0,,,,,110299057466.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,743.991.941.247,118.827.153.070,356.798.665.379,22.043.065.668,1.255.289.257,1.242.916.114.621,743991941247.0,118827153070.0,356798665379.0,22043065668.0,1255289257.0,1242916114621.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(60.086.566.355),-,-,-,-,(60.086.566.355),-60086566355.0,,,,,-60086566355.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(114.249.157.434),(39.928.011.057),(126.175.917.968),(6.544.082.037),(7.165.172.733),(294.062.341.229),-114249157434.0,-39928011057.0,-126175917968.0,-6544082037.0,-7165172733.0,-294062341229.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(16.741.108.170),(1.932.065.469),(742.084.075),(150.260.185),-,(19.565.517.899),-16741108170.0,-1932065469.0,-742084075.0,-150260185.0,,-19565517899.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(2.582.588.195),1.838.800.011,3.605.842.801,(6.797.208.000),5.418.011.710,1.482.858.327,-2582588195.0,1838800011.0,3605842801.0,-6797208000.0,5418011710.0,1482858327.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,10.851.110.069.308,3.343.457.271.707,11.171.270.840.268,402.215.435.477,30.733.877.777,25.798.787.494.537,10851110069308.0,3343457271707.0,11171270840268.0,402215435477.0,30733877777.0,25798787494537.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.259.872.262.497,1.770.983.010.248,5.123.925.614.681,226.483.250.353,18.023.340.829,11.399.287.478.608,4259872262497.0,1770983010248.0,5123925614681.0,226483250353.0,18023340829.0,11399287478608.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,585.496.327.175,270.300.853.473,765.207.504.016,47.547.571.280,2.095.454.167,1.670.647.710.111,585496327175.0,270300853473.0,765207504016.0,47547571280.0,2095454167.0,1670647710111.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(2.412.924.937),-,-,-,-,(2.412.924.937),-2412924937.0,,,,,-2412924937.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(86.774.060.391),(38.604.242.298),(111.680.811.757),(5.725.611.440),(7.163.794.286),(249.948.520.172),-86774060391.0,-38604242298.0,-111680811757.0,-5725611440.0,-7163794286.0,-249948520172.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(789.925.660),(264.355.469),-,(150.260.185),-,(1.204.541.314),-789925660.0,-264355469.0,,-150260185.0,,-1204541314.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(6.049.270.209),3.203.048.758,617.508.973,(3.111.237.220),1.514.930.167,(3.825.019.531),-6049270209.0,3203048758.0,617508973.0,-3111237220.0,1514930167.0,-3825019531.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.749.342.408.475,2.005.618.314.712,5.778.069.815.913,265.043.712.788,14.469.930.877,12.812.544.182.765,4749342408475.0,2005618314712.0,5778069815913.0,265043712788.0,14469930877.0,12812544182765.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.824.381.248.666,1.318.563.893.349,5.530.000.921.039,118.686.137.414,10.581.778.475,12.802.213.978.943,5824381248666.0,1318563893349.0,5530000921039.0,118686137414.0,10581778475.0,12802213978943.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,6.101.767.660.833,1.337.838.956.995,5.393.201.024.355,137.171.722.689,16.263.946.900,12.986.243.311.772,6101767660833.0,1337838956995.0,5393201024355.0,137171722689.0,16263946900.0,12986243311772.0
