row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2015VND,1/1/2015VND,,
Công ty TNHH MTV lọc hóa dầu Bình Sơn,Công ty TNHH MTV lọc hóa dầu Bình Sơn,Công ty TNHH MTV lọc hóa dầu Bình Sơn,2.131.414.485.911,3.485.334.764.015,2131414485911.0,3485334764015.0
Lukoil Asia Pacific Pte Ltd,Lukoil Asia Pacific Pte Ltd,Lukoil Asia Pacific Pte Ltd,1.280.262.438.758,1.198.204.331.454,1280262438758.0,1198204331454.0
PTT International Trading Pte Ltd,PTT International Trading Pte Ltd,PTT International Trading Pte Ltd,643.118.041.661,302.868.864.276,643118041661.0,302868864276.0
Shell International Eastern Trading Company,Shell International Eastern Trading Company,Shell International Eastern Trading Company,483.836.823.904,-,483836823904.0,
Kuwait Petroleum Corporation,Kuwait Petroleum Corporation,Kuwait Petroleum Corporation,-,1.487.837.976.031,,1487837976031.0
Lynx Energy Trading Pte Ltd,Lynx Energy Trading Pte Ltd,Lynx Energy Trading Pte Ltd,-,1.341.561.371.914,,1341561371914.0
Sinopec (Hong Kong) Petroleum Holding Company Limited,Sinopec (Hong Kong) Petroleum Holding Company Limited,Sinopec (Hong Kong) Petroleum Holding Company Limited,-,945.191.772.323,,945191772323.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,4.192.197.082.158,4.638.078.925.026,4192197082158.0,4638078925026.0
,,,8.730.828.872.392,13.399.078.005.039,8730828872392.0,13399078005039.0
