row_label_raw,row_label_full,col_0,1/1/2015(theo báo cáotrước đây)VND,Điều chỉnh tạicác công ty conVND,Phân loại lại theoThông tư 200VND,31/12/2015(phân loại lại)VND,numeric__1/1/2015(theo báo cáotrước đây)VND,numeric__Điều chỉnh tạicác công ty conVND,numeric__Phân loại lại theoThông tư 200VND,numeric__31/12/2015(phân loại lại)VND
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,5.002.960.653.317,(140.739.934.938),,4.862.220.718.379,5002960653317.0,-140739934938.0,,4862220718379.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,120.975.455.095,120.975.455.095,,,120975455095.0,120975455095.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,(28.778.129.292),130.225.397,-,(28.647.903.895),-28778129292.0,130225397.0,,-28647903895.0
Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,-,139.260.241.270,2.006.721.454.564,2.145.981.695.834,,139260241270.0,2006721454564.0,2145981695834.0
Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,2.125.086.909.659,-,(2.125.086.909.659),-,2125086909659.0,,-2125086909659.0,
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,7.507.457.707.305,-,(14.654.339.744),7.492.803.367.561,7507457707305.0,,-14654339744.0,7492803367561.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,373.165.234.414,-,7.261.338.123,380.426.572.537,373165234414.0,,7261338123.0,380426572537.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,2.790.575.002.277,-,468.531.926.209,3.259.106.928.486,2790575002277.0,,468531926209.0,3259106928486.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,(366.672.859.277),17.104.116.124,-,(349.568.743.153),-366672859277.0,17104116124.0,,-349568743153.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,-,-,1.631.804.840,1.631.804.840,,,1631804840.0,1631804840.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.502.088.186.117,-,(478.712.641.209),1.023.375.544.908,1502088186117.0,,-478712641209.0,1023375544908.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,155.000.000,-,3.087.092.650,3.242.092.650,155000000.0,,3087092650.0,3242092650.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,724.473.877,-,101.843.590.342,102.568.064.219,724473877.0,,101843590342.0,102568064219.0
Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,(328.883.827),(17.104.116.124),(1.740.225.437),(19.173.225.388),-328883827.0,-17104116124.0,-1740225437.0,-19173225388.0
"Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết",2.089.664.442.183,22.582.100.000,-,2.112.246.542.183,2089664442183.0,22582100000.0,,2112246542183.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,-,359.386.545.014,359.386.545.014,,,359386545014.0,359386545014.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(118.622.434.135),1.610.000.000,-,(117.012.434.135),-118622434135.0,1610000000.0,,-117012434135.0
Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,-,-,100.000.000.000,100.000.000.000,,,100000000000.0,100000000000.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,488.808.645.014,(22.582.100.000),(466.226.545.014),-,488808645014.0,-22582100000.0,-466226545014.0,
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,1.292.605.034.249,-,428.613.705,1.293.033.647.954,1292605034249.0,,428613705.0,1293033647954.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,85.764.226.633,-,(78.325.062.642),7.439.163.991,85764226633.0,,-78325062642.0,7439163991.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(13.401.049.173.547),-,1.971.168.508,(13.399.078.005.039),-13401049173547.0,,1971168508.0,-13399078005039.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,(447.952.007.390),-,32.564.629.465,(415.387.377.925),-447952007390.0,,32564629465.0,-415387377925.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,(631.565.007.232),-,(40.260.803),(631.605.268.035),-631565007232.0,,-40260803.0,-631605268035.0
