row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước(Đã điều chỉnh lai – Thuyết minh số 33),numeric__Năm nay,numeric__VNDNăm trước(Đã điều chỉnh lai – Thuyết minh số 33)
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,-,35.166.445.388,,35166445388.0
Thu nhập thuế TNDN hoãn lai,Thu nhập thuế TNDN hoãn lai,Thu nhập thuế TNDN hoãn lai,-,5.949.719.454,,5949719454.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,-,41.116.164.842,,41116164842.0
