row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (Đã điều chỉnh lai – Thuyết minh số 33),numeric__Số cuối năm,numeric__VND Số đầu năm (Đã điều chỉnh lai – Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ các bên liên quan (Thuyết minh số 30),Ngắn hạn > Phải thu từ các bên liên quan (Thuyết minh số 30),Phải thu từ các bên liên quan (Thuyết minh số 30),68.836.376.274,24.869.375.377,68836376274.0,24869375377.0
Phải thu từ các bên khác,Ngắn hạn > Phải thu từ các bên khác,Phải thu từ các bên khác,722.041.334.392,835.922.259.382,722041334392.0,835922259382.0
- AFI,Ngắn hạn > - AFI,- AFI,78.468.721.746,107.187.877.041,78468721746.0,107187877041.0
- GME,Ngắn hạn > - GME,- GME,64.412.110.111,66.332.362.844,64412110111.0,66332362844.0
- Công ty TNHH Lâm nghiệp Hoàng Nam,Ngắn hạn > - Công ty TNHH Lâm nghiệp Hoàng Nam,- Công ty TNHH Lâm nghiệp Hoàng Nam,103.817.548.776,109.217.117.196,103817548776.0,109217117196.0
- Công ty TNHH Thương mại và Xây dựng DLC,Ngắn hạn > - Công ty TNHH Thương mại và Xây dựng DLC,- Công ty TNHH Thương mại và Xây dựng DLC,46.269.598.346,76.133.211.160,46269598346.0,76133211160.0
- Công ty TNHH Xây dựng Thương mại Hà Sơn Hải,Ngắn hạn > - Công ty TNHH Xây dựng Thương mại Hà Sơn Hải,- Công ty TNHH Xây dựng Thương mại Hà Sơn Hải,27.525.789.699,97.129.662.062,27525789699.0,97129662062.0
- Công ty Cổ phần Đầu tư Xây dựng Nông Lâm nghiệp Trường Sơn,Ngắn hạn > - Công ty Cổ phần Đầu tư Xây dựng Nông Lâm nghiệp Trường Sơn,- Công ty Cổ phần Đầu tư Xây dựng Nông Lâm nghiệp Trường Sơn,30.103.950.800,-,30103950800.0,
- Công ty TNHH Thương mại & Dịch vụ Lâm nghiệp Minh Hoàng,Ngắn hạn > - Công ty TNHH Thương mại & Dịch vụ Lâm nghiệp Minh Hoàng,- Công ty TNHH Thương mại & Dịch vụ Lâm nghiệp Minh Hoàng,36.960.553.488,92.312.210.025,36960553488.0,92312210025.0
- Các khách hàng khác,Ngắn hạn > - Các khách hàng khác,- Các khách hàng khác,334.483.061.426,287.609.819.054,334483061426.0,287609819054.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,790.877.710.666,860.791.634.759,790877710666.0,860791634759.0
Dự phòng các khoản phải thu khách hàng khó đòi,Ngắn hạn > Dự phòng các khoản phải thu khách hàng khó đòi,Dự phòng các khoản phải thu khách hàng khó đòi,(151.076.577.836),(231.748.799.651),-151076577836.0,-231748799651.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,(151.076.577.836),(231.748.799.651),-151076577836.0,-231748799651.0
