row_label_raw,row_label_full,Hợp đồng vay ngày 18 tháng 9 năm 2015 (*) > Hợp đồng vay ngày 11 tháng 1 năm 2016 (**),Số đầu năm > 603.500.000.000 > -,Vay trong năm > - > 598.400.000.000,Trả trong năm > (74.001.249.994) > (95.562.222.220),Đã đến hạn nhưng không chuyển đổi > (529.498.750.006) > (502.837.777.780),VND Số cuối năm > -,numeric__Số đầu năm > 603.500.000.000 > -,numeric__Vay trong năm > - > 598.400.000.000,numeric__Trả trong năm > (74.001.249.994) > (95.562.222.220),numeric__Đã đến hạn nhưng không chuyển đổi > (529.498.750.006) > (502.837.777.780),numeric__VND Số cuối năm > -
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,603.500.000.000,598.400.000.000,(169.563.472.214),(1.032.336.527.786),-,603500000000.0,598400000000.0,-169563472214.0,-1032336527786.0,
,,,,Hợp đồng vay ngày 18 tháng 9 năm 2015,Hợp đồng vay ngày 11 tháng 1 năm 2016,,VND Tổng cộng,,,,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Giá trị vay chuyển đổi,Năm nay > Giá trị vay chuyển đổi,Giá trị vay chuyển đổi,,603.500.000.000,598.400.000.000,,1.201.900.000.000,,603500000000.0,598400000000.0,,1201900000000.0
Cơ cấu vốn chủ sở hữu (Thuyết minh số 22),Năm nay > Cơ cấu vốn chủ sở hữu (Thuyết minh số 22),Cơ cấu vốn chủ sở hữu (Thuyết minh số 22),,6.743.618.619,5.208.401.000,,11.952.019.619,,6743618619.0,5208401000.0,,11952019619.0
Cơ cấu nợ gốc ghi nhận ban đầu,Năm nay > Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,,596.756.381.381,593.191.599.000,,1.189.947.980.381,,596756381381.0,593191599000.0,,1189947980381.0
Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Năm nay > Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,,6.743.618.619,5.208.401.000,,11.952.019.619,,6743618619.0,5208401000.0,,11952019619.0
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,,1.900.213.870,-,,1.900.213.870,,1900213870.0,,,1900213870.0
Số phân bổ tăng trong năm,Năm nay > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,,4.843.404.749,5.208.401.000,,10.051.805.749,,4843404749.0,5208401000.0,,10051805749.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,,6.743.618.619,5.208.401.000,,11.952.019.619,,6743618619.0,5208401000.0,,11952019619.0
Trừ:,Năm nay > Trừ:,Trừ:,,(603.500.000.000),(598.400.000.000),,(1.201.900.000.000),,-603500000000.0,-598400000000.0,,-1201900000000.0
Trả trong năm,Năm nay > Trả trong năm,Trả trong năm,,(74.001.249.994),(95.562.222.220),,(169.563.472.214),,-74001249994.0,-95562222220.0,,-169563472214.0
Đã đến hạn nhưng không chuyển đổi,Năm nay > Đã đến hạn nhưng không chuyển đổi,Đã đến hạn nhưng không chuyển đổi,,(529.498.750.006),(502.837.777.780),,(1.032.336.527.786),,-529498750006.0,-502837777780.0,,-1032336527786.0
Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,,-,-,,-,,,,,
