row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33),numeric__Số cuối năm,numeric__VND Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả cho các bên liên quan(Thuyết minh số 30),Ngắn hạn > Phải trả cho các bên liên quan(Thuyết minh số 30),Phải trả cho các bên liên quan(Thuyết minh số 30),10.487.850.549,9.095.053.645,10487850549.0,9095053645.0
Phải trả cho các bên khác,Ngắn hạn > Phải trả cho các bên khác,Phải trả cho các bên khác,243.116.220.995,449.270.339.257,243116220995.0,449270339257.0
- Công ty TNHH Xây dựng và Thương mại DLC,Ngắn hạn > - Công ty TNHH Xây dựng và Thương mại DLC,- Công ty TNHH Xây dựng và Thương mại DLC,54.046.365.064,32.235.056.724,54046365064.0,32235056724.0
- Công ty TNHH Lâm nghiệp Phương Mai,Ngắn hạn > - Công ty TNHH Lâm nghiệp Phương Mai,- Công ty TNHH Lâm nghiệp Phương Mai,37.200.000.000,37.200.000.000,37200000000.0,37200000000.0
- Công ty Cổ phần Đầu tư Xây dựng Nông Lâm nghiệp Trường Sơn,Ngắn hạn > - Công ty Cổ phần Đầu tư Xây dựng Nông Lâm nghiệp Trường Sơn,- Công ty Cổ phần Đầu tư Xây dựng Nông Lâm nghiệp Trường Sơn,28.664.477.783,-,28664477783.0,
- Công ty TNHH Hiệp Thành,Ngắn hạn > - Công ty TNHH Hiệp Thành,- Công ty TNHH Hiệp Thành,6.107.176.887,-,6107176887.0,
- Công ty TNHH Xây dựng Thương mại Hà Sơn Hải,Ngắn hạn > - Công ty TNHH Xây dựng Thương mại Hà Sơn Hải,- Công ty TNHH Xây dựng Thương mại Hà Sơn Hải,6.734.162.507,38.368.973.285,6734162507.0,38368973285.0
- Công ty Cổ phần Vũ Tuán,Ngắn hạn > - Công ty Cổ phần Vũ Tuán,- Công ty Cổ phần Vũ Tuán,290.611.600,110.524.816.277,290611600.0,110524816277.0
- Công ty TNHH Thương mại & Dịch vụ Lâm nghiệp Minh Hoàng,Ngắn hạn > - Công ty TNHH Thương mại & Dịch vụ Lâm nghiệp Minh Hoàng,- Công ty TNHH Thương mại & Dịch vụ Lâm nghiệp Minh Hoàng,23.313.791.121,25.156.848.550,23313791121.0,25156848550.0
- Công ty TNHH Tịnh Tiến Đắk Nông,Ngắn hạn > - Công ty TNHH Tịnh Tiến Đắk Nông,- Công ty TNHH Tịnh Tiến Đắk Nông,-,39.158.380.755,,39158380755.0
- Khác,Ngắn hạn > - Khác,- Khác,86.759.636.033,166.626.263.666,86759636033.0,166626263666.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,253.604.071.544,458.365.392.902,253604071544.0,458365392902.0
