row_label_raw,row_label_full,col_0,Năm nay,VND > Năm trước (Đã điều chỉnh lại – Thuyết minh số 33,numeric__Năm nay,numeric__VND > Năm trước (Đã điều chỉnh lại – Thuyết minh số 33
Lãi vay,Lãi vay,Lãi vay,273.052.474.651,214.961.542.774,273052474651.0,214961542774.0
Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,555.806.776,30.360.804.757,555806776.0,30360804757.0
Hoàn nhập dự phòng các khoản đầu tư tài chính,Hoàn nhập dự phòng các khoản đầu tư tài chính,Hoàn nhập dự phòng các khoản đầu tư tài chính,-,(283.993.499),,-283993499.0
Phân chia lợi nhuận hợp đồng hợp tác kinh doanh với DLC,Phân chia lợi nhuận hợp đồng hợp tác kinh doanh với DLC,Phân chia lợi nhuận hợp đồng hợp tác kinh doanh với DLC,-,3.684.971.099,,3684971099.0
Khác,Khác,Khác,476.676.144,1.577.358.230,476676144.0,1577358230.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,274.084.957.571,250.300.683.361,274084957571.0,250300683361.0
