row_label_raw,row_label_full,col_0,Năm nay,VND > Năm trước (Đã điều chỉnh lại – Thuyết minh số 33),numeric__Năm nay,numeric__VND > Năm trước (Đã điều chỉnh lại – Thuyết minh số 33)
Thu nhập khác,Thu nhập khác,Thu nhập khác,42.197.904.045,229.990.715.866,42197904045.0,229990715866.0
Thu nhập từ nợ gốc và lãi vay được xóa,Thu nhập từ nợ gốc và lãi vay được xóa,Thu nhập từ nợ gốc và lãi vay được xóa,25.657.434.144,207.646.735.713,25657434144.0,207646735713.0
Thanh lý tài sản,Thanh lý tài sản,Thanh lý tài sản,5.459.475.385,6.411.833.018,5459475385.0,6411833018.0
Phạt vi phạm,Phạt vi phạm,Phạt vi phạm,2.997.941.946,2.684.521.991,2997941946.0,2684521991.0
Khác,Khác,Khác,8.083.052.570,13.247.625.144,8083052570.0,13247625144.0
Chi phí khác,Chi phí khác,Chi phí khác,42.800.419.349,31.670.280.239,42800419349.0,31670280239.0
Chi phí phạt,Chi phí phạt,Chi phí phạt,16.486.785.263,19.741.743.192,16486785263.0,19741743192.0
Thanh lý tài sản,Thanh lý tài sản,Thanh lý tài sản,4.963.184.107,426.986.746,4963184107.0,426986746.0
Thủ lao Hội đồng Quản trị và Ban Kiểm soát,Thủ lao Hội đồng Quản trị và Ban Kiểm soát,Thủ lao Hội đồng Quản trị và Ban Kiểm soát,-,620.000.000,,620000000.0
Chi phí thiết hại do cháy rừng,Chi phí thiết hại do cháy rừng,Chi phí thiết hại do cháy rừng,344.537.719,5.642.997.585,344537719.0,5642997585.0
Khác,Khác,Khác,21.005.912.260,5.238.552.716,21005912260.0,5238552716.0
(Lỗ) LỢI NHUẬN KHÁC THUẬN,(Lỗ) LỢI NHUẬN KHÁC THUẬN,(Lỗ) LỢI NHUẬN KHÁC THUẬN,(602.515.304),198.320.435.627,-602515304.0,198320435627.0
