row_label_raw,row_label_full,col_0,Vốn cố phân,Thăng dư vốn cố phân,Quyền chọnchuyên đối vay,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Quỹ khắcthuộc vốnchủ sở hữu,Lỗ lũy kế,Tổng cộng,numeric__Vốn cố phân,numeric__Thăng dư vốn cố phân,numeric__Quyền chọnchuyên đối vay,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khắcthuộc vốnchủ sở hữu,numeric__Lỗ lũy kế,numeric__Tổng cộng
Số liệu đã trình bày trước đây,Số đầu năm > Số liệu đã trình bày trước đây,Số liệu đã trình bày trước đây,1.400.939.400.000,67.347.876.763,6.743.618.619,(420.631.294),17.170.504.129,8.963.110,236.701.053.629,1.728.490.784.956,1400939400000.0,67347876763.0,6743618619.0,-420631294.0,17170504129.0,8963110.0,236701053629.0,1728490784956.0
Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,Số đầu năm > Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,-,(15.549.033.915),-,64.164.006,405.493,-,(391.342.335.770),(406.826.800.186),,-15549033915.0,,64164006.0,405493.0,,-391342335770.0,-406826800186.0
Đã điều chỉnh lại,Số đầu năm > Đã điều chỉnh lại,Đã điều chỉnh lại,1.400.939.400.000,51.798.842.848,6.743.618.619,(356.467.288),17.170.909.622,8.963.110,(154.641.282.141),1.321.663.984.770,1400939400000.0,51798842848.0,6743618619.0,-356467288.0,17170909622.0,8963110.0,-154641282141.0,1321663984770.0
Lỗ thuần trong năm,Số đầu năm > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,-,(1.271.135.551.342),(1.271.135.551.342),,,,,,,-1271135551342.0,-1271135551342.0
Tăng vốn (*),Số đầu năm > Tăng vốn (*),Tăng vốn (*),45.139.000.000,-,-,-,-,-,-,45.139.000.000,45139000000.0,,,,,,,45139000000.0
Tăng vay chuyển đổi,Số đầu năm > Tăng vay chuyển đổi,Tăng vay chuyển đổi,-,-,5.208.401.000,-,-,-,-,5.208.401.000,,,5208401000.0,,,,,5208401000.0
Giao dịch mua thêm cố phần từcác cổ đông không kiểm soát,Số đầu năm > Giao dịch mua thêm cố phần từcác cổ đông không kiểm soát,Giao dịch mua thêm cố phần từcác cổ đông không kiểm soát,-,-,-,-,-,-,8.158.813.733,8.158.813.733,,,,,,,8158813733.0,8158813733.0
Vay chuyển đổi đến hạn nhùngkhông được chuyển đổi,Số đầu năm > Vay chuyển đổi đến hạn nhùngkhông được chuyển đổi,Vay chuyển đổi đến hạn nhùngkhông được chuyển đổi,-,11.952.019.619,(11.952.019.619),-,-,-,-,-,,11952019619.0,-11952019619.0,,,,,
Khác,Số đầu năm > Khác,Khác,-,-,-,(196.497.712),-,-,-,(196.497.712),,,,-196497712.0,,,,-196497712.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,1.446.078.400.000,63.750.862.467,-,(552.965.000),17.170.909.622,8.963.110,(1.417.618.019.750),108.838.150.449,1446078400000.0,63750862467.0,,-552965000.0,17170909622.0,8963110.0,-1417618019750.0,108838150449.0
