row_label_raw,row_label_full,col_0,Số liệu được trình bày trước đây,Ảnh hưởng của điều chỉnh hoặc phân loại,Ảnh hưởng của điều chỉnh hoặc phân loại_1,VND Số liệu trình bày lại,numeric__Số liệu được trình bày trước đây,numeric__Ảnh hưởng của điều chỉnh hoặc phân loại,numeric__Ảnh hưởng của điều chỉnh hoặc phân loại_1,numeric__VND Số liệu trình bày lại
,,,Số liệu được trình bày trước đây,Điều chỉnh hồi tố,Phân loại lại,VND Số liệu trình bày lại,,,,
Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,,,,
Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,,,,
Tiền và các khoản tương đương tiền,Tài sản ngắn hạn > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,7.925.212.937,3.911.413,-,7.929.124.350,7925212937.0,3911413.0,,7929124350.0
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản ngắn hạn > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,116.330.930.061,-,8.732.000.000,125.062.930.061,116330930061.0,,8732000000.0,125062930061.0
Phải thu ngắn hạn của khách hàng,Tài sản ngắn hạn > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,865.180.210.280,11.127.507.230,(15.516.082.751),860.791.634.759,865180210280.0,11127507230.0,-15516082751.0,860791634759.0
Phải thu về cho vay ngắn hạn,Tài sản ngắn hạn > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,48.500.848.000,(19.000.000.000),(11.922.691.077),17.578.156.923,48500848000.0,-19000000000.0,-11922691077.0,17578156923.0
Phải thu ngắn hạn khác,Tài sản ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,132.016.274.679,(4.755.644.626),585.022,127.261.215.075,132016274679.0,-4755644626.0,585022.0,127261215075.0
Dự phòng phải thu ngắn hạn khó đòi,Tài sản ngắn hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(25.576.800.725),(224.701.013.117),6.243.635.221,(244.034.178.621),-25576800725.0,-224701013117.0,6243635221.0,-244034178621.0
Tài sản thiếu chờ xử lý,Tài sản ngắn hạn > Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,585.022,-,(585.022),-,585022.0,,-585022.0,
