row_label_raw,row_label_full,col_0,Số liệu được trình bày trước đây,Ảnh hưởng của điều chỉnh hoặc phân loại lại,Ảnh hưởng của điều chỉnh hoặc phân loại lại_1,VND Số liệu trình bày lại,numeric__Số liệu được trình bày trước đây,numeric__Ảnh hưởng của điều chỉnh hoặc phân loại lại,numeric__Ảnh hưởng của điều chỉnh hoặc phân loại lại_1,numeric__VND Số liệu trình bày lại
,,,Số liệu được trình bày trước đây,Điều chỉnh hồi tố,Phân loại lại,VND Số liệu trình bày lại,,,,
Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,,,,
Doanh thu bán hàng và cung cấp dịch vụ,Bảo cáo kết quả hoạt động kinh doanh hợp nhất > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,2.752.987.675.611,-,13.755.581.079,2.766.743.256.690,2752987675611.0,,13755581079.0,2766743256690.0
Các khoản giảm trừ doanh thu,Bảo cáo kết quả hoạt động kinh doanh hợp nhất > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(1.148.154.482),-,-,(1.148.154.482),-1148154482.0,,,-1148154482.0
Giá vốn hàng bán và dịch vụ cung cấp,Bảo cáo kết quả hoạt động kinh doanh hợp nhất > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(2.406.340.133.166),(92.960.367.603),(13.755.581.079),(2.513.056.081.848),-2406340133166.0,-92960367603.0,-13755581079.0,-2513056081848.0
Doanh thu hoạt động tài chính,Bảo cáo kết quả hoạt động kinh doanh hợp nhất > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,27.841.772.799,13.250.599.095,14.219.590.939,55.311.962.833,27841772799.0,13250599095.0,14219590939.0,55311962833.0
Chỉ phí tài chính,Bảo cáo kết quả hoạt động kinh doanh hợp nhất > Chỉ phí tài chính,Chỉ phí tài chính,(70.501.881.666),(39.794.769.677),(140.004.032.018),(250.300.683.361),-70501881666.0,-39794769677.0,-140004032018.0,-250300683361.0
"Phần lỗ trong công ty liên doanh, liên kết","Bảo cáo kết quả hoạt động kinh doanh hợp nhất > Phần lỗ trong công ty liên doanh, liên kết","Phần lỗ trong công ty liên doanh, liên kết",(2.349.097.046),(505.643.529),-,(2.854.740.575),-2349097046.0,-505643529.0,,-2854740575.0
Chi phí quản lý doanh nghiệp,Bảo cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(109.406.520.106),(177.755.794.728),-,(287.162.314.834),-109406520106.0,-177755794728.0,,-287162314834.0
Thu nhập khác,Bảo cáo kết quả hoạt động kinh doanh hợp nhất > Thu nhập khác,Thu nhập khác,104.206.274.787,-,125.784.441.079,229.990.715.866,104206274787.0,,125784441079.0,229990715866.0
Thu nhập thuế TNDN hoãn lại,Bảo cáo kết quả hoạt động kinh doanh hợp nhất > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,(637.871.721),(5.311.847.733),,(5.949.719.454),-637871721.0,-5311847733.0,,-5949719454.0
Lỗ cơ bản trên cổ phiếu (VND/cổ phiếu),Bảo cáo kết quả hoạt động kinh doanh hợp nhất > Lỗ cơ bản trên cổ phiếu (VND/cổ phiếu),Lỗ cơ bản trên cổ phiếu (VND/cổ phiếu),1.504,(2.514),-,(1.010),1504.0,-2514.0,,-1010.0
Lỗ suy giảm trên cổ phiếu (VND/cổ phiếu),Bảo cáo kết quả hoạt động kinh doanh hợp nhất > Lỗ suy giảm trên cổ phiếu (VND/cổ phiếu),Lỗ suy giảm trên cổ phiếu (VND/cổ phiếu),1.151,(2.161),,(1.010),1151.0,-2161.0,,-1010.0
Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
Lợi nhuận (lỗ) trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận (lỗ) trước thuế,Lợi nhuận (lỗ) trước thuế,240.736.307.203,(297.765.976.441),-,(57.029.669.238),240736307203.0,-297765976441.0,,-57029669238.0
Các khoản dự phòng,Lưu chuyển tiền từ hoạt động kinh doanh > Các khoản dự phòng,Các khoản dự phòng,40.338.573.543,82.943.294.925,-,123.281.868.468,40338573543.0,82943294925.0,,123281868468.0
Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lưu chuyển tiền từ hoạt động kinh doanh > Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,-,(13.250.599.095),-,(13.250.599.095),,-13250599095.0,,-13250599095.0
Lãi từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động kinh doanh > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,(18.401.415.066),505.643.529,-,(17.895.771.537),-18401415066.0,505643529.0,,-17895771537.0
Chi phí lãi vay,Lưu chuyển tiền từ hoạt động kinh doanh > Chi phí lãi vay,Chi phí lãi vay,181.737.706.065,39.794.769.677,(6.570.932.968),214.961.542.774,181737706065.0,39794769677.0,-6570932968.0,214961542774.0
Tăng các khoản phải thu,Lưu chuyển tiền từ hoạt động kinh doanh > Tăng các khoản phải thu,Tăng các khoản phải thu,(335.887.722.659),94.812.499.803,-,(241.075.222.856),-335887722659.0,94812499803.0,,-241075222856.0
Giảm hàng tồn kho,Lưu chuyển tiền từ hoạt động kinh doanh > Giảm hàng tồn kho,Giảm hàng tồn kho,(157.394.286.818),92.960.367.602,-,(64.433.919.216),-157394286818.0,92960367602.0,,-64433919216.0
Giảm các khoản phải trả,Lưu chuyển tiền từ hoạt động kinh doanh > Giảm các khoản phải trả,Giảm các khoản phải trả,(27.349.664.491),-,6.877.782.968,(20.471.881.523),-27349664491.0,,6877782968.0,-20471881523.0
Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
Tiền thu từ phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ phát hành cổ phiếu,Tiền thu từ phát hành cổ phiếu,400.268.400.000,-,6.436.768.619,406.705.168.619,400268400000.0,,6436768619.0,406705168619.0
Tiền thu từ đi vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,2.074.971.133.423,-,(6.743.618.619),2.068.227.514.804,2074971133423.0,,-6743618619.0,2068227514804.0
