row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),Ngắn hạn > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),1.679.013.344,-,1679013344.0,
"Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và kinh phí công đoàn","Ngắn hạn > Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và kinh phí công đoàn","Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và kinh phí công đoàn",23.559.988.798,67.335.023.482,23559988798.0,67335023482.0
Lãi chậm nộp thuế và bảo hiểm,Ngắn hạn > Lãi chậm nộp thuế và bảo hiểm,Lãi chậm nộp thuế và bảo hiểm,37.029.703.327,29.387.533.559,37029703327.0,29387533559.0
Thù lao Hội đồng Quản trị và Ban Kiểm soát,Ngắn hạn > Thù lao Hội đồng Quản trị và Ban Kiểm soát,Thù lao Hội đồng Quản trị và Ban Kiểm soát,2.129.488.776,2.038.973.622,2129488776.0,2038973622.0
Cổ tức,Ngắn hạn > Cổ tức,Cổ tức,2.146.900.000,2.102.920.500,2146900000.0,2102920500.0
Phải trả khác,Ngắn hạn > Phải trả khác,Phải trả khác,19.432.967.500,137.040.306.429,19432967500.0,137040306429.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,85.978.061.745,237.904.757.592,85978061745.0,237904757592.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Nhận đặt cọc ký quỹ dài hạn,Dài hạn > Nhận đặt cọc ký quỹ dài hạn,Nhận đặt cọc ký quỹ dài hạn,30.000.000,1.000.000.000,30000000.0,1000000000.0
Công ty TNHH MTV Lâm nghiệp,Công ty TNHH MTV Lâm nghiệp,Công ty TNHH MTV Lâm nghiệp,,,,
Phước An,Công ty TNHH MTV Lâm nghiệp > Phước An,Phước An,-,1.586.928.000,,1586928000.0
TỔNG CỘNG,Công ty TNHH MTV Lâm nghiệp > TỔNG CỘNG,TỔNG CỘNG,30.000.000,2.586.928.000,30000000.0,2586928000.0
