row_label_raw,row_label_full,col_0,Năm nay,VND > Năm trước (Đã điều chỉnh lại – Thuyết minh số 33),numeric__Năm nay,numeric__VND > Năm trước (Đã điều chỉnh lại – Thuyết minh số 33)
Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,(1.295.557.506.233),(57.029.669.238),-1295557506233.0,-57029669238.0
Thuế TNDN theo thuế suất 20% áp dụng cho Công ty (Năm 2015: 22%),Thuế TNDN theo thuế suất 20% áp dụng cho Công ty (Năm 2015: 22%),Thuế TNDN theo thuế suất 20% áp dụng cho Công ty (Năm 2015: 22%),(259.111.501.247),(12.546.527.232),-259111501247.0,-12546527232.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
"Hao hụt, mất mất hàng tồn kho","Các khoản điều chỉnh: > Hao hụt, mất mất hàng tồn kho","Hao hụt, mất mất hàng tồn kho",215.394.919.199,20.357.100.521,215394919199.0,20357100521.0
Các khoản phạt,Các khoản điều chỉnh: > Các khoản phạt,Các khoản phạt,2.433.675.857,-,2433675857.0,
Chi phí không được trừ,Các khoản điều chỉnh: > Chi phí không được trừ,Chi phí không được trừ,2.842.718.194,2.344.590.053,2842718194.0,2344590053.0
Thay đổi dự phòng giảm giá hàng tồn kho,Các khoản điều chỉnh: > Thay đổi dự phòng giảm giá hàng tồn kho,Thay đổi dự phòng giảm giá hàng tồn kho,14.273.072.959,-,14273072959.0,
"Phần lỗ trong công ty liên doanh, liên kết","Các khoản điều chỉnh: > Phần lỗ trong công ty liên doanh, liên kết","Phần lỗ trong công ty liên doanh, liên kết",777.828.526,628.042.927,777828526.0,628042927.0
Thay đổi chi phí phải trả,Các khoản điều chỉnh: > Thay đổi chi phí phải trả,Thay đổi chi phí phải trả,7.950.460.455,-,7950460455.0,
Thay đổi dự phòng nợ phải thu khó đòi,Các khoản điều chỉnh: > Thay đổi dự phòng nợ phải thu khó đòi,Thay đổi dự phòng nợ phải thu khó đòi,(11.855.269.490),18.247.524.884,-11855269490.0,18247524884.0
Thay đổi dự phòng trợ cấp thời việc,Các khoản điều chỉnh: > Thay đổi dự phòng trợ cấp thời việc,Thay đổi dự phòng trợ cấp thời việc,289.562.500,-,289562500.0,
Lợi nhuận chưa thực hiện,Các khoản điều chỉnh: > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,(1.063.288.754),-,-1063288754.0,
Chênh lệch tỷ giá do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,Các khoản điều chỉnh: > Chênh lệch tỷ giá do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,Chênh lệch tỷ giá do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,(2.675.438.546),-,-2675438546.0,
Dự phòng đầu tư vào công ty con được trừ,Các khoản điều chỉnh: > Dự phòng đầu tư vào công ty con được trừ,Dự phòng đầu tư vào công ty con được trừ,-,(16.719.715.519),,-16719715519.0
Lỗ chuyển sang các năm sau,Các khoản điều chỉnh: > Lỗ chuyển sang các năm sau,Lỗ chuyển sang các năm sau,30.743.260.347,28.805.149.208,30743260347.0,28805149208.0
Chi phí thuế TNDN,Các khoản điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,-,41.116.164.842,,41116164842.0
