row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33)
300,300,300,C. NỘ PHẢI TRẢ,,3.453.016.149.679,2.817.849.423.717,,,3453016149679.0,2817849423717.0
310,310,310,I. Nợ ngắn hạn,,3.423.575.673.122,2.754.413.196.749,,,3423575673122.0,2754413196749.0
311,311,311,1. Phải trả người bán ngắn hạn,16.1,253.604.071.544,458.365.392.902,,161.0,253604071544.0,458365392902.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,16.2,181.257.022.257,57.799.306.517,,162.0,181257022257.0,57799306517.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,17,29.962.361.527,74.346.831.765,,17.0,29962361527.0,74346831765.0
314,314,314,4. Phải trả người lao động,,43.348.406.480,46.873.026.545,,,43348406480.0,46873026545.0
315,315,315,5. Chi phí phải trả ngắn hạn,18,191.833.231.568,126.063.985.423,,18.0,191833231568.0,126063985423.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,195.000.005,175.000.002,,,195000005.0,175000002.0
319,319,319,7. Phải trả ngắn hạn khác,20,85.978.061.745,237.904.757.592,,20.0,85978061745.0,237904757592.0
320,320,320,8. Vay ngắn hạn,21,2.637.397.517.996,1.752.884.896.003,,21.0,2637397517996.0,1752884896003.0
330,330,330,II. Nợ dài hạn,,29.440.476.557,63.436.226.968,,,29440476557.0,63436226968.0
336,336,336,1. Doanh thu chưa thực hiện dài hạn,19,27.013.450.057,28.839.711.468,,19.0,27013450057.0,28839711468.0
337,337,337,2. Phải trả dài hạn khác,20,30.000.000,2.586.928.000,,20.0,30000000.0,2586928000.0
338,338,338,3. Vay dài hạn,21,-,30.000.000.000,,21.0,,30000000000.0
342,342,342,4. Dự phòng phải trả dài hạn,,2.397.026.500,2.009.587.500,,,2397026500.0,2009587500.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,132.099.853.523,1.428.818.821.014,,,132099853523.0,1428818821014.0
410,410,410,I. Vốn chủ sở hữu,,132.068.118.269,1.428.787.085.760,,,132068118269.0,1428787085760.0
411,411,411,1. Vốn cổ phần,22.1,1.446.078.400.000,1.400.939.400.000,,221.0,1446078400000.0,1400939400000.0
411a,411a,411a,- Cổ phiếu phố thông có quyền biểu quyết,,1.446.078.400.000,1.400.939.400.000,,,1446078400000.0,1400939400000.0
412,412,412,2. Thắng dư vốn cổ phần,22.1,63.750.862.467,51.798.842.848,,221.0,63750862467.0,51798842848.0
413,413,413,3. Quyền chọn chuyển đổi vay,22.1,-,6.743.618.619,,221.0,,6743618619.0
415,415,415,4. Cổ phiếu quỹ,22.1,(552.965.000),(356.467.288),,221.0,-552965000.0,-356467288.0
418,418,418,5. Quỹ đầu tư phát triển,22.1,17.170.909.622,17.170.909.622,,221.0,17170909622.0,17170909622.0
420,420,420,6. Quỹ khác thuộc vốn chủ sở hữu,22.1,8.963.110,8.963.110,,221.0,8963110.0,8963110.0
421,421,421,7. Lỗ lũy kế,22.1,(1.417.618.019.750),(154.641.282.141),,221.0,-1417618019750.0,-154641282141.0
421a,421a,421a,- Lỗ lũy kế đến cuối năm trước,,(154.641.282.141),(46.046.158.010),,,-154641282141.0,-46046158010.0
421b,421b,421b,- Lỗ năm nay,,(1.262.976.737.609),(108.595.124.131),,,-1262976737609.0,-108595124131.0
429,429,429,8. Lợi ích cổ đông không kiểm soát,,23.229.967.820,107.123.100.990,,,23229967820.0,107123100990.0
430,430,430,II. Nguồn kinh phí và quỹ khác,,31.735.254,31.735.254,,,31735254.0,31735254.0
431,431,431,1. Nguồn kinh phí,,31.735.254,31.735.254,,,31735254.0,31735254.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,3.585.116.003.202,4.246.668.244.731,,,3585116003202.0,4246668244731.0
