row_label_raw,row_label_full,col_0,Số đầu năm,Tăngtrong năm,Giảmtrong năm,VNDSố cuối năm,numeric__Số đầu năm,numeric__Tăngtrong năm,numeric__Giảmtrong năm,numeric__VNDSố cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trịgia tăng,Phải thu > Thuế giá trịgia tăng,Thuế giá trịgia tăng,24.359.386.958,61.127.069.710,(32.716.106.579),52.770.350.089,24359386958.0,61127069710.0,-32716106579.0,52770350089.0
Khác,Phải thu > Khác,Khác,1.490.806.651,2.793.697.134,(1.799.913.592),2.484.590.193,1490806651.0,2793697134.0,-1799913592.0,2484590193.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,25.850.193.609,63.920.766.844,(34.516.020.171),55.254.940.282,25850193609.0,63920766844.0,-34516020171.0,55254940282.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhậpdoanh nghiệp,Phải nộp > Thuế thu nhậpdoanh nghiệp,Thuế thu nhậpdoanh nghiệp,42.743.931.007,-,(34.350.927.216),8.393.003.791,42743931007.0,,-34350927216.0,8393003791.0
Thuế giá trịgia tăng,Phải nộp > Thuế giá trịgia tăng,Thuế giá trịgia tăng,26.297.178.628,91.632.080.772,(101.390.900.428),16.538.358.972,26297178628.0,91632080772.0,-101390900428.0,16538358972.0
Thuế thu nhậpcá nhân,Phải nộp > Thuế thu nhậpcá nhân,Thuế thu nhậpcá nhân,4.313.768.223,2.237.512.986,(2.440.450.768),4.110.830.441,4313768223.0,2237512986.0,-2440450768.0,4110830441.0
Khác,Phải nộp > Khác,Khác,991.953.907,860.242.250,(932.027.834),920.168.323,991953907.0,860242250.0,-932027834.0,920168323.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,74.346.831.765,94.729.836.008,(139.114.306.246),29.962.361.527,74346831765.0,94729836008.0,-139114306246.0,29962361527.0
