row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VND Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VND Năm trước
Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty TNHH Quản lý Xây dựng Vincom 1,Bên liên quan,Dịch vụ lắp đặt,8.618.955.582,3.272.001.102,,,8618955582.0,3272001102.0
Công ty TNHH Vinpearl Bãi Dài,Công ty TNHH Vinpearl Bãi Dài,Công ty TNHH Vinpearl Bãi Dài,Bên liên quan,Dịch vụ lắp đặt,5.548.453.815,-,,,5548453815.0,
Công ty TNHH Quản lý Xây dựng Vincom 2,Công ty TNHH Quản lý Xây dựng Vincom 2,Công ty TNHH Quản lý Xây dựng Vincom 2,Bên liên quan,Dịch vụ lắp đặt,3.099.569.308,-,,,3099569308.0,
Công ty TNHH Vinpearl Hạ Long,Công ty TNHH Vinpearl Hạ Long,Công ty TNHH Vinpearl Hạ Long,Bên liên quan,Dịch vụ lắp đặt,2.726.611.268,5.134.531.597,,,2726611268.0,5134531597.0
Tập đoàn Vingroup - Công ty Cổ phần,Tập đoàn Vingroup - Công ty Cổ phần,Tập đoàn Vingroup - Công ty Cổ phần,Bên liên quan,Dịch vụ lắp đặt Lãi vay,2.103.608.760 5.731.927.056,-,,,,
Công ty TNHH Dịch vụ Bảo vệ Vincom,Tập đoàn Vingroup - Công ty Cổ phần > Công ty TNHH Dịch vụ Bảo vệ Vincom,Công ty TNHH Dịch vụ Bảo vệ Vincom,Bên liên quan,Nhận cung cấp dịch vụ,1.806.858.533,-,,,1806858533.0,
Công ty Cổ phần Vincom,Tập đoàn Vingroup - Công ty Cổ phần > Công ty Cổ phần Vincom,Công ty Cổ phần Vincom,Bên liên quan,Dịch vụ lắp đặt,1.758.546.416,-,,,1758546416.0,
Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Tập đoàn Vingroup - Công ty Cổ phần > Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Bên liên quan,Dịch vụ lắp đặt,1.377.777.263,2.288.633.467,,,1377777263.0,2288633467.0
Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Vincommerce,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Vincommerce,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Vincommerce,Bên liên quan,Dịch vụ lắp đặt Bán hàng hóa,1.190.672.729 286.753.896,-,,,,
Công ty TNHH Quản lý Xây dựng Vincom 3,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Vincommerce > Công ty TNHH Quản lý Xây dựng Vincom 3,Công ty TNHH Quản lý Xây dựng Vincom 3,Bên liên quan,Dịch vụ lắp đặt,596.824.588,-,,,596824588.0,
Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Vincommerce > Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Bên liên quan,Dịch vụ lắp đặt,226.259.117,-,,,226259117.0,
Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Vincommerce > Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Bên liên quan,Dịch vụ lắp đặt,204.413.063,153.178.600,,,204413063.0,153178600.0
