row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản khác,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,380.396.862.155,287.184.639.831,28.441.138.892,3.056.416.925,1.376.406.125,700.455.463.928,380396862155.0,287184639831.0,28441138892.0,3056416925.0,1376406125.0,700455463928.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá: > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,5.360.589.620,306.946.050,-,-,-,5.667.535.670,5360589620.0,306946050.0,,,,5667535670.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,16.597.815.890,17.672.350.764,1.092.272.727,11.035.107.171,-,46.397.546.552,16597815890.0,17672350764.0,1092272727.0,11035107171.0,,46397546552.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,-,185.000.000,-,-,-,185.000.000,,185000000.0,,,,185000000.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(5.026.333.561),(2.783.633.568),-,-,(7.809.967.129),,-5026333561.0,-2783633568.0,,,-7809967129.0
Xóa số,Nguyên giá: > Xóa số,Xóa số,-,(6.305.004.227),(847.579.394),(38.164.480),-,(7.190.748.101),,-6305004227.0,-847579394.0,-38164480.0,,-7190748101.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,402.355.267.665,294.017.598.857,25.902.198.657,14.053.359.616,1.376.406.125,737.704.830.920,402355267665.0,294017598857.0,25902198657.0,14053359616.0,1376406125.0,737704830920.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,27.429.458.106,94.161.466.859,4.118.819.066,4.755.738.432,-,130.465.482.463,27429458106.0,94161466859.0,4118819066.0,4755738432.0,,130465482463.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(91.556.144.722),(110.377.511.114),(16.950.602.139),(2.722.155.782),(1.005.373.879),(222.611.787.636),-91556144722.0,-110377511114.0,-16950602139.0,-2722155782.0,-1005373879.0,-222611787636.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(20.174.646.756),(16.323.127.974),(2.734.983.611),(287.791.857),(169.260.844),(39.689.811.042),-20174646756.0,-16323127974.0,-2734983611.0,-287791857.0,-169260844.0,-39689811042.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,1.228.752.524,2.205.214.823,-,-,3.433.967.347,,1228752524.0,2205214823.0,,,3433967347.0
Xóa số,Giá trị khấu hao lũy kế: > Xóa số,Xóa số,-,3.824.393.276,673.857.639,38.164.480,-,4.536.415.395,,3824393276.0,673857639.0,38164480.0,,4536415395.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(111.730.791.478),(121.647.493.288),(16.806.513.288),(2.971.783.159),(1.174.634.723),(254.331.215.936),-111730791478.0,-121647493288.0,-16806513288.0,-2971783159.0,-1174634723.0,-254331215936.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,288.840.717.433,176.807.128.717,11.490.536.753,334.261.143,371.032.246,477.843.676.292,288840717433.0,176807128717.0,11490536753.0,334261143.0,371032246.0,477843676292.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,290.624.476.187,172.370.105.569,9.095.685.369,11.081.576.457,201.771.402,483.373.614.984,290624476187.0,172370105569.0,9095685369.0,11081576457.0,201771402.0,483373614984.0
