row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vu,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vu,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty liên kết,Bán hàng,38.958.652,284.349.320,,,38958652.0,284349320.0
Công ty TNHH Vinpearl Nha Trang,Phải thu ngắn hạn của khách hàng > Công ty TNHH Vinpearl Nha Trang,Công ty TNHH Vinpearl Nha Trang,Bên liên quan,Dịch vụ lắp đặt,6.160.882.396,3.005.481.963,,,6160882396.0,3005481963.0
Công ty TNHH Một thành viên Vinpearl Phú Quốc,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một thành viên Vinpearl Phú Quốc,Công ty TNHH Một thành viên Vinpearl Phú Quốc,Bên liên quan,Dịch vụ lắp đặt,-,9.840.248.950,,,,9840248950.0
Công ty Cổ phần Phát triển Đỏ thị Nam Hà Nội,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Phát triển Đỏ thị Nam Hà Nội,Công ty Cổ phần Phát triển Đỏ thị Nam Hà Nội,Bên liên quan,Dịch vụ lắp đặt,2.563.974.790,2.711.441.358,,,2563974790.0,2711441358.0
Công ty Cổ phần Đầu tư & Phát triển Địa Оc Hoàng Gia,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư & Phát triển Địa Оc Hoàng Gia,Công ty Cổ phần Đầu tư & Phát triển Địa Оc Hoàng Gia,Bên liên quan,Dịch vụ lắp đặt,4.786.791.329,4.211.620.166,,,4786791329.0,4211620166.0
Công ty TNHH Quản lý Xây dựng Vincom 1,Phải thu ngắn hạn của khách hàng > Công ty TNHH Quản lý Xây dựng Vincom 1,Công ty TNHH Quản lý Xây dựng Vincom 1,Bên liên quan,Dịch vụ lắp đặt,12.759.034.195,21.463.673,,,12759034195.0,21463673.0
Công ty TNHH Một thành viên Vinpearl Đà Nẵng,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một thành viên Vinpearl Đà Nẵng,Công ty TNHH Một thành viên Vinpearl Đà Nẵng,Bên liên quan,Dịch vụ lắp đặt,1.740.855.600,1.740.855.600,,,1740855600.0,1740855600.0
Công ty TNHH Vinpearl Hạ Long,Phải thu ngắn hạn của khách hàng > Công ty TNHH Vinpearl Hạ Long,Công ty TNHH Vinpearl Hạ Long,Bên liên quan,Dịch vụ lắp đặt,330.209.802,1.373.949.368,,,330209802.0,1373949368.0
Công ty TNHH Quản lý Bất Đông sản Vinhomes,Phải thu ngắn hạn của khách hàng > Công ty TNHH Quản lý Bất Đông sản Vinhomes,Công ty TNHH Quản lý Bất Đông sản Vinhomes,Bên liên quan,Dịch vụ lắp đặt,123.385.671,-,,,123385671.0,
Tập đoàn Vingroup - Công ty Cổ phần,Phải thu ngắn hạn của khách hàng > Tập đoàn Vingroup - Công ty Cổ phần,Tập đoàn Vingroup - Công ty Cổ phần,Bên liên quan,Dịch vụ lắp đặt,1.500.043.560,-,,,1500043560.0,
Công ty Cổ phần Đầu tư và Phát triển Đỏ thị Sài Đồng,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư và Phát triển Đỏ thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Đỏ thị Sài Đồng,Bên liên quan,Dịch vụ lắp đặt,736.821.084,554.490.132,,,736821084.0,554490132.0
Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Bên liên quan,Dịch vụ lắp đặt,16.357.511.571,-,,,16357511571.0,
Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Cổ đông lớn,Dịch vụ lắp đặt,18.468.366.559,933.004.902,,,18468366559.0,933004902.0
Công ty TNHH Future Property Invest,Phải thu ngắn hạn của khách hàng > Công ty TNHH Future Property Invest,Công ty TNHH Future Property Invest,Bên liên quan,Dịch vụ lắp đặt,3.259.583.480,-,,,3259583480.0,
Các bên liên quan khác,Phải thu ngắn hạn của khách hàng > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,Dịch vụ lắp đặt,9.957.585,192.469.945,,,9957585.0,192469945.0
,,,,,68.836.376.274,24.869.375.377,,,68836376274.0,24869375377.0
