row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33)
Lãi vay,Lãi vay,Lãi vay,177.105.896.025,102.496.671.515,177105896025.0,102496671515.0
Phải trả các bên liên quan (Thuyết minh số 30),Phải trả các bên liên quan (Thuyết minh số 30),Phải trả các bên liên quan (Thuyết minh số 30),8.977.297.601,16.151.666.668,8977297601.0,16151666668.0
Khác,Khác,Khác,5.750.037.942,7.415.647.240,5750037942.0,7415647240.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,191.833.231.568,126.063.985.423,191833231568.0,126063985423.0
