row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước(Đã điều chỉnh lại – Thuyết minh số 33),numeric__Năm nay,numeric__VNDNăm trước(Đã điều chỉnh lại – Thuyết minh số 33)
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,26.571.091.875,22.883.349.288,26571091875.0,22883349288.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,7.102.595.184,6.263.800.950,7102595184.0,6263800950.0
"Chi phí quảng cáo, khuyến mãi, hàng mẫu","Chi phí quảng cáo, khuyến mãi, hàng mẫu","Chi phí quảng cáo, khuyến mãi, hàng mẫu",562.915.906,4.777.197.887,562915906.0,4777197887.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,77.416.882,16.575.432,77416882.0,16575432.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,15.181.621.573,6.650.707.203,15181621573.0,6650707203.0
Chi phí khác,Chi phí khác,Chi phí khác,3.646.542.330,5.175.067.816,3646542330.0,5175067816.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,52.967.836.207,287.162.314.834,52967836207.0,287162314834.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,75.117.837.863,77.386.497.446,75117837863.0,77386497446.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,2.155.751.435,1.912.167.114,2155751435.0,1912167114.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",2.516.996.608,2.539.131.442,2516996608.0,2539131442.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",5.931.957.529,5.580.814.907,5931957529.0,5580814907.0
(Hoàn nhập) dự phòng phải thu,(Hoàn nhập) dự phòng phải thu,(Hoàn nhập) dự phòng phải thu,(86.415.061.774),180.273.277.466,-86415061774.0,180273277466.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,31.799.267.622,13.302.070.730,31799267622.0,13302070730.0
Chi phí khác,Chi phí khác,Chi phí khác,21.861.086.924,6.168.355.729,21861086924.0,6168355729.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,79.538.928.082,310.045.664.122,79538928082.0,310045664122.0
