row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33),numeric__Số cuối năm,numeric__VND Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ","Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",1.670.747.635,965.096.015,1670747635.0,965096015.0
Chi phí bảo hiểm,Ngắn hạn > Chi phí bảo hiểm,Chi phí bảo hiểm,2.103.332.494,665.438.422,2103332494.0,665438422.0
Khác,Ngắn hạn > Khác,Khác,334.158.603,315.444.689,334158603.0,315444689.0
,,,4.108.238.732,1.945.979.126,4108238732.0,1945979126.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí thuê đất (*),Dài hạn > Chi phí thuê đất (*),Chi phí thuê đất (*),71.657.928.210,72.130.853.578,71657928210.0,72130853578.0
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",17.260.201.221,17.850.430.123,17260201221.0,17850430123.0
Khác,Dài hạn > Khác,Khác,5.503.462.522,2.568.761.802,5503462522.0,2568761802.0
,,,94.421.591.953,92.550.045.503,94421591953.0,92550045503.0
TỔNG CỔNG,Dài hạn > TỔNG CỔNG,TỔNG CỔNG,98.529.830.685,94.496.024.629,98529830685.0,94496024629.0
