row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Địa điểm,Ngành nghề,Tỷ lệ sở hữu (%),numeric__Tên công ty con_1,numeric__Địa điểm,numeric__Ngành nghề,numeric__Tỷ lệ sở hữu (%)
1.,1.,1.,Công ty Cổ phần Trường Thành Xanh,Phú Yên,Trồng rừng,"99,99",,,,99.99
2.,2.,2.,Công ty Cổ phần Lâm Nghiệp Trường Thành,Đắk Lắk,Trồng rừng,"99,97",,,,99.97
3.,3.,3.,Công ty TNHH Kỹ nghệ Gỗ Trường Thành,Thành phố Hồ Chí Minh,Thương mại,"97,50",,,,97.5
4.,4.,4.,Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Đắk Nông,Thương mại,"94,75",,,,94.75
5.,5.,5.,Công ty Cổ phần Chế biến Gỗ Trường Thành (Đắk Lắk 2),Đắk Lắk,Sản xuất đồ gỗ,"70,00",,,,70.0
6.,6.,6.,Công ty Cổ phần Trường Thành,Đắk Lắk,Sản xuất đồ gỗ,"70,00",,,,70.0
7.,7.,7.,Công ty Cổ phần Trồng rừng Trường Thành,Đắk Lắk,Trồng rừng,"79,89",,,,79.89
8.,8.,8.,Công ty Cổ phần Lâm nghiệp Trường Thành Đắk Nông,Đắk Nông,Trồng rừng,"99,44",,,,99.44
9.,9.,9.,Công ty Cổ phần Chế biến Gỗ Trường Thành M'drak,Đắk Lắk,Sản xuất đồ gỗ,"90,25",,,,90.25
10.,10.,10.,Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Đắk Lắk,Trồng rừng,"85,37",,,,85.37
11.,11.,11.,Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Phú Yên,Sản xuất đồ gỗ,"60,00",,,,60.0
12.,12.,12.,Công ty Cổ phần Vật liệu xây dựng Trường Thành – Phước An,Đắk Lắk,Sản xuất vật liệu xây dựng,"51,55",,,,51.55
13.,13.,13.,Công ty Cổ phần Quản lý Cụm Công nghiệp Trường Thành,Đắk Lắk,Khu Công Nghiệp,"97,30",,,,97.3
14.,14.,14.,Công ty Cổ phần Lâm sản Trường Thành,Đắk Lắk,Trồng rừng,"100,00",,,,100.0
