row_label_raw,row_label_full,Ông Nguyễn Quang Trung,Trường ban > Thành viên,bổ nhiệm ngày 21 tháng 7 năm 2016 > bổ nhiệm ngày 15 tháng 4 năm 2016,numeric__Trường ban > Thành viên,numeric__bổ nhiệm ngày 21 tháng 7 năm 2016 > bổ nhiệm ngày 15 tháng 4 năm 2016
Ông Hoàng Anh Tú,Ông Hoàng Anh Tú,Ông Hoàng Anh Tú,Thành viên,,,
Bà Nguyễn Thị Thu Hiền,Bà Nguyễn Thị Thu Hiền,Bà Nguyễn Thị Thu Hiền,Thành viên,bổ nhiệm ngày 20 tháng 7 năm 2016,,
Bà Trần Lâm Thúy Quyên,Bà Trần Lâm Thúy Quyên,Bà Trần Lâm Thúy Quyên,Thành viên,từ nhiệm ngày 15 tháng 4 năm 2016,,
Bà Bùi Thị Kim Tuyên,Bà Bùi Thị Kim Tuyên,Bà Bùi Thị Kim Tuyên,Trường ban,từ nhiệm ngày 20 tháng 7 năm 2016,,
