row_label_raw,row_label_full,col_0,Quyền sử dụng đấtlâu dài,Phần mềm máy tính,Tài sản khác,VNDTổng cộng,numeric__Quyền sử dụng đấtlâu dài,numeric__Phần mềm máy tính,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.458.632.000,5.928.840.494,17.730.256.880,25.117.729.374,1458632000.0,5928840494.0,17730256880.0,25117729374.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,193.801.920,-,193.801.920,,193801920.0,,193801920.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.458.632.000,6.122.642.414,17.730.256.880,25.311.531.294,1458632000.0,6122642414.0,17730256880.0,25311531294.0
Trong đó:Đã hao mòn hết,Nguyên giá: > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,-,512.923.845,157.259.011,670.182.856,,512923845.0,157259011.0,670182856.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(2.517.365.247),(7.211.477.229),(9.728.842.476),,-2517365247.0,-7211477229.0,-9728842476.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(313.041.512),(877.325.068),(1.190.366.580),,-313041512.0,-877325068.0,-1190366580.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(2.830.406.759),(8.088.802.297),(10.919.209.056),,-2830406759.0,-8088802297.0,-10919209056.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.458.632.000,3.411.475.247,10.518.779.651,15.388.886.898,1458632000.0,3411475247.0,10518779651.0,15388886898.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.458.632.000,3.292.235.655,9.641.454.583,14.392.322.238,1458632000.0,3292235655.0,9641454583.0,14392322238.0
