row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
Tập đoàn Vingroup - Công ty Cổ phần,Chi phí phải trả ngắn hạn > Tập đoàn Vingroup - Công ty Cổ phần,Tập đoàn Vingroup - Công ty Cổ phần,Bên liên quan,Lãi vay phải trả,5.731.927.056,-,,,5731927056.0,
Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Chi phí phải trả ngắn hạn > Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Cổ đông lớn,Lãi vay phải trả,2.580.796.308,16.151.666.668,,,2580796308.0,16151666668.0
Công ty Cổ phần Phú Hữu Gia,Chi phí phải trả ngắn hạn > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,Lãi vay phải trả,664.574.237,-,,,664574237.0,
,,,,,8.977.297.601,16.151.666.668,,,8977297601.0,16151666668.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Công ty Cổ phần Đầu tư & Phát triển Địa Ốc Hoàng Gia,Phải trả ngắn hạn khác > Công ty Cổ phần Đầu tư & Phát triển Địa Ốc Hoàng Gia,Công ty Cổ phần Đầu tư & Phát triển Địa Ốc Hoàng Gia,Bên liên quan,Lãi vay phải trả,1.679.013.344,-,,,1679013344.0,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Vay ngắn hạn > Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Cổ đông lớn,Vay,1.032.336.527.786,598.656.595.251,,,1032336527786.0,598656595251.0
Tập đoàn Vingroup - Công ty Cổ phần,Vay ngắn hạn > Tập đoàn Vingroup - Công ty Cổ phần,Tập đoàn Vingroup - Công ty Cổ phần,Bên liên quan,Vay,335.389.000.000,-,,,335389000000.0,
Công ty Cổ phần Phú Hữu Gia,Vay ngắn hạn > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,Vay,-,32.455.205.020,,,,32455205020.0
,,,,,1.367.725.527.786,631.111.800.271,,,1367725527786.0,631111800271.0
