row_label_raw,row_label_full,Ngân hàng,Cuối năm VND,Nguyên tệ USD,Kỳ hạn trả gốc và lãi,Lãi suất %/năm,Hình thức đảm bảo,numeric__Cuối năm VND,numeric__Nguyên tệ USD,numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất %/năm,numeric__Hình thức đảm bảo
"Việt Á, CN BMT","Việt Á, CN BMT","Việt Á, CN BMT","Việt Á, CN BMT","Việt Á, CN BMT","Việt Á, CN BMT","Việt Á, CN BMT","Việt Á, CN BMT",,,,,
Hợp đồng số 600-47/14/VAB/HĐHMDN ngày 29 tháng 8 năm 2014,"Việt Á, CN BMT > Hợp đồng số 600-47/14/VAB/HĐHMDN ngày 29 tháng 8 năm 2014",Hợp đồng số 600-47/14/VAB/HĐHMDN ngày 29 tháng 8 năm 2014,50.633.840.824,-,Từ ngày 11 tháng 2 năm 2016 đến ngày 26 tháng 4 năm 2016,11 - 12,"Quyền sử dụng đất và các tài sản là công trình xây dựng gắn liền với đất; gỗ nguyên liệu và máy móc thiết bị, dây chuyển sản xuất thuộc quyền sở hữu của công ty Cổ phần Trường Thành, công ty con của Công ty",50633840824.0,,,,
Hợp đồng số 600-48/14/VAB/HĐHMDN ngày 29 tháng 8 năm 2014,"Việt Á, CN BMT > Hợp đồng số 600-48/14/VAB/HĐHMDN ngày 29 tháng 8 năm 2014",Hợp đồng số 600-48/14/VAB/HĐHMDN ngày 29 tháng 8 năm 2014,49.215.400.000,-,Từ ngày 27 tháng 2 năm 2016 đến ngày 9 tháng 3 năm 2016,11 – 12,"Quyền sử dụng đất, nhà xưởng và các công trình xây dựng trên đất; máy móc thiết bị, dây chuyển sản xuất; \( 2.120 \text{ m}^{3} \) gỗ nguyên liệu các loại thuộc quyền sở hữu của công ty Cổ phần Chế biến Gỗ Trường Thành (Đắk Lắk 2), công ty con của Công ty",49215400000.0,,,,
Hợp đồng số 600-55/14/VAB/HĐHMDN ngày 02 tháng 10 năm 2014,"Việt Á, CN BMT > Hợp đồng số 600-55/14/VAB/HĐHMDN ngày 02 tháng 10 năm 2014",Hợp đồng số 600-55/14/VAB/HĐHMDN ngày 02 tháng 10 năm 2014,3.431.000.000,-,Ngày 2 tháng 10 năm 2015,12,"Máy móc thiết bị, dây chuyển sản xuất của Công ty Cổ phần Chế biến Gỗ Trường Thành M'drak, công ty con của Công ty",3431000000.0,,,12.0,
"Tổng cộng Việt Á, CN BMT","Việt Á, CN BMT > Tổng cộng Việt Á, CN BMT","Tổng cộng Việt Á, CN BMT",103.280.240.824,-,,,,103280240824.0,,,,
