row_label_raw,row_label_full,col_0,Chế biến gỗ,Trồng rừng,Loại trừ,VND Tổng cộng,numeric__Chế biến gỗ,numeric__Trồng rừng,numeric__Loại trừ,numeric__VND Tổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,2.754.772.786.732,10.822.315.476,-,2.765.595.102.208,2754772786732.0,10822315476.0,,2765595102208.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,3.037.192.294.409,11.931.820.050,(3.049.124.114.459),-,3037192294409.0,11931820050.0,-3049124114459.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,5.791.965.081.141,22.754.135.526,(3.049.124.114.459),2.765.595.102.208,5791965081141.0,22754135526.0,-3049124114459.0,2765595102208.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận từ hoạt động kinh doanh của bộ phận,Kết quả > Lợi nhuận từ hoạt động kinh doanh của bộ phận,Lợi nhuận từ hoạt động kinh doanh của bộ phận,(50.132.896.930),(7.373.746.832),-,(57.029.669.238),-50132896930.0,-7373746832.0,,-57029669238.0
Doanh thu hoạt động tài chính,Kết quả > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,55.311.962.833,,,,55311962833.0
Chi phí tài chính,Kết quả > Chi phí tài chính,Chi phí tài chính,,,,(250.300.683.361),,,,-250300683361.0
Thu nhập khác,Kết quả > Thu nhập khác,Thu nhập khác,,,,229.990.715.866,,,,229990715866.0
Chi phí khác,Kết quả > Chi phí khác,Chi phí khác,,,,(31.670.280.239),,,,-31670280239.0
Phần lỗ trong công ty liên kết,Kết quả > Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,,,,(2.854.740.575),,,,-2854740575.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(41.116.164.842),,,,-41116164842.0
Lỗ sau thuế,Kết quả > Lỗ sau thuế,Lỗ sau thuế,,,,(98.145.834.080),,,,-98145834080.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,4.085.467.503.317,161.200.741.414,-,4.246.668.244.731,4085467503317.0,161200741414.0,,4246668244731.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,
Tổng tài sản,Tài sản không phân bổ > Tổng tài sản,Tổng tài sản,,,,4.246.668.244.731,,,,4246668244731.0
Nợ phải trả bộ phận,Tài sản không phân bổ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.739.783.404.924,78.066.018.793,-,2.817.849.423.717,2739783404924.0,78066018793.0,,2817849423717.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,-,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,,,,2.817.849.423.717,,,,2817849423717.0
