row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33),Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33),numeric__Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng đang đi trên đường,Hàng đang đi trên đường,Hàng đang đi trên đường,12.878.879.808,-,2.732.646.344,-,12878879808.0,,2732646344.0,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,988.675.143.100,(47.047.761.675),1.301.584.803.379,(36.106.550.444),988675143100.0,-47047761675.0,1301584803379.0,-36106550444.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",2.919.743.768,(152.662.710),2.076.601.172,(57.721.172),2919743768.0,-152662710.0,2076601172.0,-57721172.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,696.059.394.956,(26.529.220.714),937.760.682.721,(15.744.394.132),696059394956.0,-26529220714.0,937760682721.0,-15744394132.0
Chi phí dở dang hàng sản xuất,Chi phí dở dang hàng sản xuất,Chi phí dở dang hàng sản xuất,324.358.496.227,(3.187.276.249),605.061.336.327,(4.244.394.132),324358496227.0,-3187276249.0,605061336327.0,-4244394132.0
Chi phí dở dang công trình lặp đặt,Chi phí dở dang công trình lặp đặt,Chi phí dở dang công trình lặp đặt,182.343.520.021,(10.486.467.766),109.478.637.358,-,182343520021.0,-10486467766.0,109478637358.0,
"Chi phí trồng rừng Huyện Krông Pắk, tỉnh Đắk Lắk","Chi phí trồng rừng Huyện Krông Pắk, tỉnh Đắk Lắk","Chi phí trồng rừng Huyện Krông Pắk, tỉnh Đắk Lắk",155.857.378.708,(1.355.476.699),189.720.709.036,-,155857378708.0,-1355476699.0,189720709036.0,
Bất động sản (*),Bất động sản (*),Bất động sản (*),33.500.000.000,(11.500.000.000),33.500.000.000,(11.500.000.000),33500000000.0,-11500000000.0,33500000000.0,-11500000000.0
Thành phẩm,Thành phẩm,Thành phẩm,138.324.402.111,(4.730.277.756),121.037.297.205,(4.730.277.756),138324402111.0,-4730277756.0,121037297205.0,-4730277756.0
