row_label_raw,row_label_full,col_0,Số đầu năm(Đã điều chỉnh lại –Thuyết minh số 33),Tăng trong năm,Giảm trong năm,Chênh lệchtỷ giá hối đoái/phân loại lại,VNDSố cuối năm,numeric__Số đầu năm(Đã điều chỉnh lại –Thuyết minh số 33),numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Chênh lệchtỷ giá hối đoái/phân loại lại,numeric__VNDSố cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.752.884.896.003,2.650.959.977.475,(1.796.589.356.924),30.442.001.442,2.637.397.517.996,1752884896003.0,2650959977475.0,-1796589356924.0,30442001442.0,2637397517996.0
Vay chuyển đổi (Thuyết minh số 21.6),Vay chuyển đổi (Thuyết minh số 21.6),Vay chuyển đổi (Thuyết minh số 21.6),598.656.595.251,603.243.404.749,(1.201.900.000.000),-,-,598656595251.0,603243404749.0,-1201900000000.0,,
Vay ngân hàng (Thuyết minh số 21.1),Vay ngân hàng (Thuyết minh số 21.1),Vay ngân hàng (Thuyết minh số 21.1),1.104.170.095.732,372.191.044.940,(543.134.151.904),442.001.442,933.668.990.210,1104170095732.0,372191044940.0,-543134151904.0,442001442.0,933668990210.0
Vay dài hạn đến hạn trả(Thuyết minh số 21.3),Vay dài hạn đến hạn trả(Thuyết minh số 21.3),Vay dài hạn đến hạn trả(Thuyết minh số 21.3),10.003.000.000,-,(4.000.000.000),30.000.000.000,36.003.000.000,10003000000.0,,-4000000000.0,30000000000.0,36003000000.0
Vay cá nhân (Thuyết minh số 21.4),Vay cá nhân (Thuyết minh số 21.4),Vay cá nhân (Thuyết minh số 21.4),-,300.000.000.000,-,-,300.000.000.000,,300000000000.0,,,300000000000.0
Vay các bên liên quan(Thuyết minh số 21.2),Vay các bên liên quan(Thuyết minh số 21.2),Vay các bên liên quan(Thuyết minh số 21.2),40.055.205.020,1.375.525.527.786,(47.555.205.020),-,1.367.725.527.786,40055205020.0,1375525527786.0,-47555205020.0,,1367725527786.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,30.000.000.000,-,-,(30.000.000.000),-,30000000000.0,,,-30000000000.0,
Vay ngân hàng (Thuyết minh số 21.3),Vay ngân hàng (Thuyết minh số 21.3),Vay ngân hàng (Thuyết minh số 21.3),30.000.000.000,-,-,(30.000.000.000),-,30000000000.0,,,-30000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.782.884.896.003,2.650.959.977.475,(1.796.589.356.924),442.001.442,2.637.397.517.996,1782884896003.0,2650959977475.0,-1796589356924.0,442001442.0,2637397517996.0
21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,,,,,
