row_label_raw,row_label_full,21. VAY (tiếp theo),21. VAY (tiếp theo)_1,21. VAY (tiếp theo)_2,21. VAY (tiếp theo)_3,21. VAY (tiếp theo)_4,21. VAY (tiếp theo)_5,numeric__21. VAY (tiếp theo)_1,numeric__21. VAY (tiếp theo)_2,numeric__21. VAY (tiếp theo)_3,numeric__21. VAY (tiếp theo)_4,numeric__21. VAY (tiếp theo)_5
21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Số cuối nămVND,Nguyên tệUSD,Kỳ hạn trả gốc và lãi,Lãi suất%/năm,Hình thức đảm bảo,,,,,
"Kiên Long, CN Bình Dương","Kiên Long, CN Bình Dương","Kiên Long, CN Bình Dương","Kiên Long, CN Bình Dương","Kiên Long, CN Bình Dương","Kiên Long, CN Bình Dương","Kiên Long, CN Bình Dương","Kiên Long, CN Bình Dương",,,,,
Hợp đồng số 2047/14/HĐTD/0100-2647 ngày 10 tháng 12 năm 2014,"Kiên Long, CN Bình Dương > Hợp đồng số 2047/14/HĐTD/0100-2647 ngày 10 tháng 12 năm 2014",Hợp đồng số 2047/14/HĐTD/0100-2647 ngày 10 tháng 12 năm 2014,59.980.000.000,-,Từ ngày 5 tháng 11năm 2016 đến 4 tháng12 năm 2016,"9,27","\( 4.818 \text{ m}^{3} \text{ gỗ nguyên liệu các loại và thành phẩm của Công ty Cổ phần Chế biến Gỗ Trường Thành (Bình Dương 2), công ty con đã sáp nhập vào Công ty} \)",59980000000.0,,,9.27,
BIDV,BIDV,BIDV,BIDV,BIDV,BIDV,BIDV,BIDV,,,,,
Hợp đồng số 01/2016/4564542/HĐTD ngày 29 tháng 3 năm 2016,BIDV > Hợp đồng số 01/2016/4564542/HĐTD ngày 29 tháng 3 năm 2016,Hợp đồng số 01/2016/4564542/HĐTD ngày 29 tháng 3 năm 2016,3.772.000.000,-,Ngày 21 tháng 4 năm2017,"8,5",Máy móc và phương tiện vận tải của Công ty Cổ phần Vận tải Vũ Thành,3772000000.0,,,8.5,
"VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông",,,,,
Hợp đồng số 102/2010/HĐTDXK-NHPTPC ngày 28 tháng 12 năm 2010,"VDB, CN Đắk Lắk – Đắk Nông > Hợp đồng số 102/2010/HĐTDXK-NHPTPC ngày 28 tháng 12 năm 2010",Hợp đồng số 102/2010/HĐTDXK-NHPTPC ngày 28 tháng 12 năm 2010,3.424.680.000,-,Từ ngày 2 tháng 11năm 2011 đến ngày 25tháng 11 năm 2011,11,"Hàng tồn kho, máy móc và thiết bị của Công ty Cổ phần Chế biến Gỗ Trường Thành (Đắk Lắk 2), công ty con của Công ty",3424680000.0,,,11.0,
Hợp đồng số 03/2011/HĐTDXK-NHPTPC ngày 4 tháng 4 năm 2011,"VDB, CN Đắk Lắk – Đắk Nông > Hợp đồng số 03/2011/HĐTDXK-NHPTPC ngày 4 tháng 4 năm 2011",Hợp đồng số 03/2011/HĐTDXK-NHPTPC ngày 4 tháng 4 năm 2011,3.500.000.000,-,Từ ngày 30 tháng 11năm 2011 đến ngày 21tháng 12 năm 2011,11,"Hàng tồn kho, máy móc và thiết bị của Công ty Cổ phần Chế biến Gỗ Trường Thành (Đắk Lắk 2), công ty con của Công ty",3500000000.0,,,11.0,
Hợp đồng số 07/2011/HĐTDXK/NHPT-BL-ĐN ngày 3 tháng 6 năm 2011,"VDB, CN Đắk Lắk – Đắk Nông > Hợp đồng số 07/2011/HĐTDXK/NHPT-BL-ĐN ngày 3 tháng 6 năm 2011",Hợp đồng số 07/2011/HĐTDXK/NHPT-BL-ĐN ngày 3 tháng 6 năm 2011,50.775.322,-,Ngày 24 tháng 2 năm2012,11,"Hàng tồn kho của Công ty Cổ phần Trường Thành (Đắk Lắk 1), công ty con của Công ty",50775322.0,,,11.0,
Hợp đồng số 12/2011/HĐTDXK-NHPT-BL-ĐN ngày 24 tháng 8 năm 2011,"VDB, CN Đắk Lắk – Đắk Nông > Hợp đồng số 12/2011/HĐTDXK-NHPT-BL-ĐN ngày 24 tháng 8 năm 2011",Hợp đồng số 12/2011/HĐTDXK-NHPT-BL-ĐN ngày 24 tháng 8 năm 2011,3.400.000.000,-,Ngày 27 tháng 3 năm2012,11,"Hàng tồn kho của Công ty Cổ phần Trường Thành (Đắk Lắk 1), công ty con của Công ty",3400000000.0,,,11.0,
"Tổng cộng VDB, CN Đắk Lắk - Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông > Tổng cộng VDB, CN Đắk Lắk - Đắk Nông","Tổng cộng VDB, CN Đắk Lắk - Đắk Nông",10.375.455.322,-,,,,10375455322.0,,,,
