row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III.,III.,III.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,1.616.587.500.000,-,,31.0,1616587500000.0,
2.,III. > 2.,2.,Tiền thu từ đi vay,33,4.450.403.421.568,5.072.577.433.365,,33.0,4450403421568.0,5072577433365.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,(3.387.626.026.940),(4.722.890.926.129),,34.0,-3387626026940.0,-4722890926129.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(110.935.000.000),(427.496.000.000),,36.0,-110935000000.0,-427496000000.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,2.568.429.894.628,(77.809.492.764),,40.0,2568429894628.0,-77809492764.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,364.220.976.142,148.369.489.069,,50.0,364220976142.0,148369489069.0
,,,Tiền đầu năm,60,213.821.688.703,65.555.793.446,,60.0,213821688703.0,65555793446.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(198.571.133),(103.593.812),,61.0,-198571133.0,-103593812.0
,,,Tiền cuối năm (70=50+60+61),70,577.844.093.712,213.821.688.703,,70.0,577844093712.0,213821688703.0
