row_label_raw,row_label_full,Công ty Dây đồng Việt Nam CFT,Số cuối nămVND > 359.156.275.369,Số đầu nămVND > 748.897.512.932,numeric__Số cuối nămVND > 359.156.275.369,numeric__Số đầu nămVND > 748.897.512.932
Công ty cổ phần Thiết bị đo điện EMIC,Công ty cổ phần Thiết bị đo điện EMIC,Công ty cổ phần Thiết bị đo điện EMIC,31.374.269.177,30.611.243.419,31374269177.0,30611243419.0
Tổng Công ty Điện lực Thành phố Hồ Chí Minh,Tổng Công ty Điện lực Thành phố Hồ Chí Minh,Tổng Công ty Điện lực Thành phố Hồ Chí Minh,11.853.543.350,76.673.333.816,11853543350.0,76673333816.0
Tổng Công ty Điện lực Miền Nam,Tổng Công ty Điện lực Miền Nam,Tổng Công ty Điện lực Miền Nam,-,98.201.232.434,,98201232434.0
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,52.876.552.365,263.599.735.590,52876552365.0,263599735590.0
,,,455.260.640.261,1.217.983.058.191,455260640261.0,1217983058191.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 30),Trong đó: > Phải thu khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 30),Phải thu khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 30),403.990.217.658,873.494.033.595,403990217658.0,873494033595.0
