row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
C.,C.,C.,Nợ PHẢI TRẢ,300,,4.394.773.663.754,4.383.130.035.525,,300.0,,4394773663754.0,4383130035525.0
I.,I.,I.,Nợ ngắn hạn,310,,2.030.956.674.136,3.413.299.987.761,,310.0,,2030956674136.0,3413299987761.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,13,63.722.620.711,547.868.608.110,,311.0,13.0,63722620711.0,547868608110.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,14,33.103.679.600,-,,312.0,14.0,33103679600.0,
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,15,102.709.564,90.564.922,,313.0,15.0,102709564.0,90564922.0
4.,4.,4.,Phải trả người lao động,314,,2.552.536.340,898.356.780,,314.0,,2552536340.0,898356780.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,16,32.567.062.402,34.417.966.321,,315.0,16.0,32567062402.0,34417966321.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,17,3.384.445.223,8.293.839.801,,318.0,17.0,3384445223.0,8293839801.0
7.,7.,7.,Phải trả ngắn hạn khác,319,18,1.108.623.015.412,1.711.241.248.739,,319.0,18.0,1108623015412.0,1711241248739.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,19,786.786.415.723,1.110.341.213.927,,320.0,19.0,786786415723.0,1110341213927.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,114.189.161,148.189.161,,322.0,,114189161.0,148189161.0
II.,II.,II.,Nợ dài hạn,330,,2.363.816.989.618,969.830.047.764,,330.0,,2363816989618.0,969830047764.0
1.,1.,1.,Vay và nợ thuê tài chính dài hạn,338,20,2.363.816.989.618,969.830.047.764,,338.0,20.0,2363816989618.0,969830047764.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,4.132.388.056.756,2.250.264.916.987,,400.0,,4132388056756.0,2250264916987.0
I.,I.,I.,Vốn chủ sở hữu,410,21,4.132.388.056.756,2.250.264.916.987,,410.0,21.0,4132388056756.0,2250264916987.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.000.000.000.000,2.218.700.000.000,,411.0,,3000000000000.0,2218700000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.000.000.000.000,2.218.700.000.000,,,,3000000000000.0,2218700000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,835.287.500.000,-,,412.0,,835287500000.0,
3.,3.,3.,Quỹ đầu tư phát triển,418,,5.000.000.000,5.000.000.000,,418.0,,5000000000.0,5000000000.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,292.100.556.756,26.564.916.987,,421.0,,292100556756.0,26564916987.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,4.377.916.987,13.202.709.272,,,,4377916987.0,13202709272.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,287.722.639.769,13.362.207.715,,,,287722639769.0,13362207715.0
