row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tài sản khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,261.519.239.336,75.279.529.415,6.196.510.427,342.995.279.178,261519239336.0,75279529415.0,6196510427.0,342995279178.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,8.571.080.000,343.745.028.762,352.316.108.762,,8571080000.0,343745028762.0,352316108762.0
Thanh lý công ty conChuyển từ xây dựng cơbản dở dang,Nguyên giá > Thanh lý công ty conChuyển từ xây dựng cơbản dở dang,Thanh lý công ty conChuyển từ xây dựng cơbản dở dang,(78.770.778.538),(1.164.150.000),-,(79.934.928.538),-78770778538.0,-1164150000.0,,-79934928538.0
Thanh lý công ty conChuyển từ xây dựng cơbản dở dang,Nguyên giá > Thanh lý công ty conChuyển từ xây dựng cơbản dở dang,Thanh lý công ty conChuyển từ xây dựng cơbản dở dang,-,3.715.200.000,-,3.715.200.000,,3715200000.0,,3715200000.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(770.000.000),-,(770.000.000),,-770000000.0,,-770000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,182.748.460.798,85.631.659.415,349.941.539.189,618.321.659.402,182748460798.0,85631659415.0,349941539189.0,618321659402.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,42.892.395.839,42.521.055.830,3.744.524.915,89.157.976.584,42892395839.0,42521055830.0,3744524915.0,89157976584.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.323.227.090,12.658.525.473,170.079.924,15.151.832.487,2323227090.0,12658525473.0,170079924.0,15151832487.0
Thanh lý công ty conXóa số,Giá trị hao mòn lũy kế > Thanh lý công ty conXóa số,Thanh lý công ty conXóa số,(20.769.844.564),(1.164.150.000),-,(21.933.994.564),-20769844564.0,-1164150000.0,,-21933994564.0
Thanh lý công ty conXóa số,Giá trị hao mòn lũy kế > Thanh lý công ty conXóa số,Thanh lý công ty conXóa số,-,(770.000.000),-,(770.000.000),,-770000000.0,,-770000000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,24.445.778.365,53.245.431.303,3.914.604.839,81.605.814.507,24445778365.0,53245431303.0,3914604839.0,81605814507.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,218.626.843.497,32.758.473.585,2.451.985.512,253.837.302.594,218626843497.0,32758473585.0,2451985512.0,253837302594.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,158.302.682.433,32.386.228.112,346.026.934.350,536.715.844.895,158302682433.0,32386228112.0,346026934350.0,536715844895.0
